,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
0,relu,adam,2,1e-05,0.45175856541145565,0.021500968691440168,144,6.623583889007568,0.0074007511138916016,0.08622615366871006,0.0034978442084456778
26,relu,adam,2,0.0001,0.4517585673295164,0.02150096860735694,143,4.948579883575439,0.003801441192626953,0.16193852000729522,0.0007481039440175631
52,relu,adam,2,0.001,0.45175858651007844,0.021500967766537704,142,6.367702627182007,0.004800128936767578,0.07608856995506814,0.0004004545738143724
78,relu,adam,2,0.01,0.4517588899621017,0.021501117371709885,141,6.617470598220825,0.006003046035766601,0.12679534650125626,0.0016726589479917342
104,relu,adam,2,0.1,0.4517613413471352,0.02150292741842774,140,6.363491249084473,0.004798078536987304,0.15311712821321816,0.0007469046346084338
130,relu,adam,2,1,0.4517832062361853,0.021503786592324922,139,6.369010972976684,0.0048005104064941405,0.1757012937703885,0.0004006449649631678
1,relu,adam,3,1e-05,0.45336274754445893,0.022339269509997376,132,7.201552438735962,0.006601285934448242,0.07405212526185372,0.002417772364088494
27,relu,adam,3,0.0001,0.4533627499576098,0.022339269952972262,131,5.055806350708008,0.004197311401367187,0.05542208458401364,0.0009797260078264298
53,relu,adam,3,0.001,0.4533656413718822,0.0223398159348525,130,6.331122541427613,0.008601045608520508,0.04792115298770302,0.0077091445180560185
79,relu,adam,3,0.01,0.4533748474534837,0.02234590520561814,128,6.772466564178467,0.008400487899780273,0.3746437907059649,0.007338068312174652
105,relu,adam,3,0.1,0.4533724100231976,0.02233715326994461,129,6.367712593078613,0.005199527740478516,0.08704917924540184,0.000747604673401909
131,relu,adam,3,1,0.4534178541262355,0.022371052229735358,127,6.367672967910766,0.004801654815673828,0.1008156000143125,0.00040121251340058064
2,relu,adam,4,1e-05,0.43566333617615954,0.028696131868866496,147,7.344255876541138,0.008000040054321289,0.16266480320016566,0.006512374656336905
28,relu,adam,4,0.0001,0.435663344105499,0.028696129054549935,146,4.976157188415527,0.00399932861328125,0.0418402552936424,3.229141798655894e-06
54,relu,adam,4,0.001,0.4356650732997176,0.028694375016839847,145,6.273993444442749,0.004400300979614258,0.02814518613047406,0.0004911111942198629
80,relu,adam,4,0.01,0.4346660103116715,0.027079877648327626,148,6.37415041923523,0.008200597763061524,0.07363581955971901,0.0063987019473965194
106,relu,adam,4,0.1,0.4311918101635658,0.03108405388732333,149,6.225119972229004,0.00840134620666504,0.09616881185285396,0.0038259967091307896
132,relu,adam,4,1,0.43115389565147,0.03437435665925948,150,6.152871894836426,0.005602407455444336,0.057586661572920396,0.002244377627574899
3,relu,adam,5,1e-05,0.38247805486306996,0.03515858191605137,156,7.679654741287232,0.005200099945068359,0.11490655342474156,0.0007471354385707198
29,relu,adam,5,0.0001,0.3824780556041668,0.03515858186712614,155,5.213211441040039,0.0040018558502197266,0.057127073032414405,0.0006321856798762721
55,relu,adam,5,0.001,0.3824781642391638,0.035159617534677584,154,6.588067483901978,0.007000398635864258,0.08338513103865214,0.004000210998977435
81,relu,adam,5,0.01,0.38248297832159583,0.03516448735018839,153,6.509542846679688,0.005001354217529297,0.09160909521861461,2.064214784804665e-06
