,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,2,1e-05,0.25001623625044417,0.25966437013682214,282,23.23218650817871,0.00579986572265625,7.419910590138452,0.002639168628669985
49,relu,adam,2,0.0001,0.25025215897634495,0.25914504700613206,281,30.55534691810608,0.005600976943969727,10.514258828282594,0.0004890474625833511
97,relu,adam,2,0.001,0.2520010711142878,0.2602800706238999,278,29.86545400619507,0.006599617004394531,9.515657767077972,0.0007992808025732163
145,relu,adam,2,0.01,0.2517368488789052,0.26034653789295986,280,29.738477087020875,0.005401897430419922,9.323664900568877,0.0004899452121046521
193,relu,adam,2,0.1,0.2517999297254401,0.2608068255709576,279,30.06001420021057,0.005999755859375,9.265369173626357,0.0006302277980196254
241,relu,adam,2,1,0.3487978162150106,0.21216432668289487,265,25.70885009765625,0.005801582336425781,8.251443465966648,0.0009815940999733275
3,relu,adam,3,1e-05,0.45824351463826785,0.028252495272677737,58,10.164705419540406,0.004600667953491211,2.255631923614998,0.0004906817378829087
51,relu,adam,3,0.0001,0.4563727229934722,0.0257577346362312,89,13.311590433120728,0.009198951721191406,2.8321379133534728,0.006431238855780163
99,relu,adam,3,0.001,0.45750950758598063,0.030111740117857732,74,12.561759996414185,0.006001567840576172,2.770878520462906,1.4193416658532349e-06
147,relu,adam,3,0.01,0.4569367197800617,0.028470234697798063,81,11.634406852722169,0.006407356262207032,1.8181629143325964,0.00103186390529911
195,relu,adam,3,0.1,0.4557457641059258,0.027094407949353295,95,12.059185075759888,0.0060005664825439455,2.2139840226722005,0.0006337700125944929
243,relu,adam,3,1,0.45784297000616514,0.028768189585859562,67,14.389419031143188,0.005799722671508789,1.9076274560141353,0.0007491451452409614
5,relu,adam,4,1e-05,0.4694747714542348,0.02879920522741939,15,8.557099056243896,0.004801607131958008,0.48501148443711617,0.0007498193218943361
53,relu,adam,4,0.0001,0.4694747605266706,0.028799210756828012,16,11.284608268737793,0.007602691650390625,0.7370109759744601,0.002727844277639813
101,relu,adam,4,0.001,0.4695829825316477,0.028812999180204937,14,11.293469619750976,0.007002925872802735,0.7132724598186639,0.0006287160152695922
149,relu,adam,4,0.01,0.4703386694552476,0.028773859630643436,11,11.430741500854491,0.0056002140045166016,0.6826372897648627,0.0004884219991213904
197,relu,adam,4,0.1,0.47004844847260274,0.027236532477574748,12,11.21530818939209,0.006601476669311523,0.7517692584879162,0.00048708691878885144
245,relu,adam,4,1,0.4681849222975999,0.02894433015165622,23,11.450207138061524,0.006601142883300781,1.0245546510688164,0.0004907014266402032
7,relu,adam,5,1e-05,0.4541559258648614,0.028536795148185492,107,7.869689512252807,0.004599523544311523,0.699077660589947,0.0004905263826057685
55,relu,adam,5,0.0001,0.4583688545869591,0.02785361496635449,56,10.036287689208985,0.006401348114013672,1.3183847618579685,0.0004893572646910921
103,relu,adam,5,0.001,0.4577337755515332,0.028422215786680034,70,9.359699726104736,0.006200647354125977,0.7939371156572543,0.0007477303319364283
151,relu,adam,5,0.01,0.45802816969225796,0.028240251120165125,63,10.012238359451294,0.008001041412353516,1.2340704616923248,0.00253020435067154
199,relu,adam,5,0.1,0.4574220326342216,0.027642423781102606,75,9.815532159805297,0.006401968002319336,1.2100507341671287,0.0004888533383107727
247,relu,adam,5,1,0.45700079513567016,0.026968551021106103,80,9.993008661270142,0.006601715087890625,1.1601511232960549,0.0008000259902211889
9,relu,adam,6,1e-05,0.451193754754453,0.02563164722254272,130,9.007994174957275,0.006601476669311523,1.565848274228395,0.0037203351813949502
57,relu,adam,6,0.0001,0.45327346850359723,0.0251990579148895,115,11.627898597717286,0.006399917602539063,1.6106233217171544,0.0004892592628552326
