,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,2,1e-05,0.465147041967923,0.02747506247401566,198,23.464296197891237,0.0031987667083740235,0.381776698990889,0.0004004753032518129
59,relu,adam,2,0.0001,0.4651469077161211,0.027474849239744,199,24.09121060371399,0.005801725387573242,0.3202325492355293,0.0046226018663716095
117,relu,adam,2,0.001,0.465213893146638,0.02750526734314818,196,24.269000244140624,0.0033994197845458986,0.7876403970477873,0.0004902331586169996
175,relu,adam,2,0.01,0.46521746291260824,0.02750919129244645,195,24.097270727157593,0.005399751663208008,0.5849195068644699,0.004800296152753918
233,relu,adam,2,0.1,0.4654791116892187,0.02764843486583127,194,23.645748615264893,0.004600238800048828,0.6536210254662653,0.0027278898521130427
291,relu,adam,2,1,0.46465248687039057,0.027015753877169073,200,24.759572505950928,0.0030004024505615235,1.1007560883642562,1.435271925286523e-06
3,relu,adam,3,1e-05,0.4794909203504899,0.023572665751446693,94,23.772357654571532,0.006799840927124023,1.8389701928157822,0.00661441976894955
61,relu,adam,3,0.0001,0.479226621744388,0.023435578352932345,103,25.063979578018188,0.003200674057006836,0.3795534076219962,0.00039868381887134025
119,relu,adam,3,0.001,0.47947173588399894,0.023559600652912262,95,24.520154428482055,0.00420074462890625,2.705557700297387,0.0009792192138292763
177,relu,adam,3,0.01,0.4775062717714221,0.023989977091208987,142,24.68180117607117,0.0032001018524169924,0.6829629878713216,0.0004001624818291406
235,relu,adam,3,0.1,0.47702272852734523,0.023647967552524435,151,24.826325988769533,0.0038012027740478515,0.6052115582129601,0.0007485478891888037
293,relu,adam,3,1,0.47750599445178654,0.023898137069937403,143,24.45375747680664,0.0035971641540527345,1.0165457610003854,0.0004889580294398945
5,relu,adam,4,1e-05,0.48275378508008976,0.026139127761788995,3,24.386885833740234,0.0038143157958984374,0.931080800919573,0.00040635428102521936
63,relu,adam,4,0.0001,0.48273475936100024,0.02610422457372805,4,24.417857789993285,0.0038016319274902345,1.0450462993250702,0.0007501902842176248
121,relu,adam,4,0.001,0.48270210120808954,0.02614193529700412,6,24.497635173797608,0.003600454330444336,0.6697858332967516,0.0004893759706343317
179,relu,adam,4,0.01,0.48291351448621933,0.026254188587692327,2,24.966552686691283,0.009399080276489257,0.3519302437773581,0.01230689354555312
237,relu,adam,4,0.1,0.4827315128515455,0.026123728411365652,5,24.765520334243774,0.005200576782226562,1.0451128944786194,0.0034284811569644073
295,relu,adam,4,1,0.4829502571775605,0.02622939279950821,1,25.490032386779784,0.003800201416015625,0.90070203100884,0.0007481510339558314
7,relu,adam,5,1e-05,0.47861204723050443,0.027164062917002425,116,23.906289958953856,0.0035979747772216797,3.5481391763492534,0.0004897915218962523
65,relu,adam,5,0.0001,0.47932552958437047,0.026672196430060552,100,24.554127788543703,0.00399932861328125,3.908567285433432,0.0006313542149049865
123,relu,adam,5,0.001,0.478556917225888,0.026745361408803056,119,22.985601902008057,0.0036001205444335938,3.4840222209363936,0.000489883337078791
181,relu,adam,5,0.01,0.4801339005161629,0.027356963685994377,58,24.99460926055908,0.003600931167602539,2.415180676114302,0.0004910366537357885
239,relu,adam,5,0.1,0.4778123968414837,0.028424684976711235,139,21.319503164291383,0.003999757766723633,3.8098255636528457,1.4096971034140094e-06
297,relu,adam,5,1,0.4778691670770371,0.027977060916958084,138,21.732057428359987,0.0038004398345947267,3.9021839583020306,0.00039866037270619296
9,relu,adam,6,1e-05,0.473721071278991,0.02384871608783867,175,24.939195442199708,0.00619959831237793,2.4404083340133216,0.0049159233596628785
67,relu,adam,6,0.0001,0.4738485589717915,0.02392655630013869,173,25.95475568771362,0.005000114440917969,0.9764261263776367,0.0015499431963995277
125,relu,adam,6,0.001,0.47379846433930395,0.023892724921155142,174,27.097721338272095,0.004200792312622071,1.0179362094825475,0.000979549927712333
183,relu,adam,6,0.01,0.47337620835871047,0.024448624753195248,178,25.12522134780884,0.0058003425598144535,2.762535215999329,0.0036004309128875745
241,relu,adam,6,0.1,0.4736656524589791,0.0247322672623987,176,24.124018907546997,0.004201555252075195,2.6539030056583806,0.00040166625326507857
299,relu,adam,6,1,0.4742558362665622,0.024776079797975283,170,25.33806233406067,0.009797954559326172,2.2486678793350694,0.006824073566691611
11,relu,adam,7,1e-05,0.47741425095409856,0.026324656699413907,147,27.113418436050416,0.004399585723876953,1.0591504814345343,0.0004890645020338566
69,relu,adam,7,0.0001,0.47659182127134747,0.02640636637214278,152,27.414889097213745,0.003998756408691406,0.9201050140648012,1.954450753395004e-06
127,relu,adam,7,0.001,0.47632871056486215,0.026557617902402846,156,27.361014747619627,0.004001188278198242,1.7058058627344113,4.1019083342755444e-07
185,relu,adam,7,0.01,0.47397238720687024,0.02960333036673915,172,25.90454912185669,0.004000139236450195,2.275469424567103,1.132425507262985e-06
243,relu,adam,7,0.1,0.4729812404560104,0.026102507666526102,181,26.905995988845824,0.0072005271911621095,3.0835686236391346,0.006400680616591242
301,relu,adam,7,1,0.47629621921139664,0.02699070074924543,157,27.100930881500243,0.004200363159179687,2.8314956082827933,0.0004002361198940016
13,relu,adam,8,1e-05,0.47832434613686364,0.02608664302677198,122,25.554292249679566,0.0037998199462890626,5.718846392254756,0.00040085336620738517
71,relu,adam,8,0.0001,0.4783078649634354,0.026116075127175547,124,25.143774557113648,0.004200124740600586,5.502493097353941,0.0003996456568876671
129,relu,adam,8,0.001,0.47826126342098585,0.026191406263430358,126,25.355274057388307,0.005199575424194336,5.398539883394813,0.0024008038660828105
187,relu,adam,8,0.01,0.4786714119434321,0.025719547132681292,114,25.118160486221313,0.003999471664428711,5.4288795225218145,2.417333956839862e-06
245,relu,adam,8,0.1,0.47869420483028546,0.02574071103653229,113,26.68395757675171,0.004600238800048828,5.298145216644463,0.0008005263635752005
303,relu,adam,8,1,0.4782990761628517,0.026121282533851015,125,25.196830224990844,0.0040012836456298825,5.53425903069346,2.11427681707338e-06
15,relu,adam,9,1e-05,0.47806262371131086,0.027719126107831567,129,22.814639806747437,0.00430450439453125,4.267207384415021,0.00040156890467891223
73,relu,adam,9,0.0001,0.47798117974791604,0.0278374487250179,134,22.554584121704103,0.0042000293731689455,4.3297910229583065,0.0003970665534634634
131,relu,adam,9,0.001,0.4779855809252897,0.02780764167902045,133,22.510613918304443,0.0044002532958984375,4.174757735062999,0.000803115126530644
189,relu,adam,9,0.01,0.4779800234485488,0.027827734367296908,135,22.65737533569336,0.004400062561035156,4.090780647224941,0.0004921791880458397
247,relu,adam,9,0.1,0.4780018010300303,0.027802556042916333,131,22.43822298049927,0.00420069694519043,3.9575259244622676,0.0004004279322713977
305,relu,adam,9,1,0.47803792375430704,0.027781108590482075,130,22.546049404144288,0.004199171066284179,4.06623298774931,0.00039976781769269256
17,relu,adam,10,1e-05,0.479672594810207,0.024986264488173,87,20.696203327178956,0.004600000381469726,5.596712200630629,0.0004882872197412102
75,relu,adam,10,0.0001,0.4796689230660708,0.02498268118266424,88,20.730549335479736,0.004799556732177734,5.489772046263251,0.00039933118912794264
133,relu,adam,10,0.001,0.4796614410450303,0.024990285907376227,90,21.04372372627258,0.004201078414916992,5.584576215886573,0.0004010807302154144
191,relu,adam,10,0.01,0.4796759721495635,0.024986788429243387,85,20.77551441192627,0.0037998676300048826,5.315848318404822,0.0007494650684122247
249,relu,adam,10,0.1,0.47970609919666574,0.02499101563585613,83,20.624097919464113,0.004599523544311523,5.503963125493415,0.0004892603782070317
307,relu,adam,10,1,0.47981435785146687,0.024933662818626922,79,20.967110300064085,0.004000997543334961,5.690575084462002,3.554276495663495e-06
19,relu,adam,11,1e-05,0.4772333835915055,0.02741260287844371,149,24.568653678894044,0.007397794723510742,7.057852085739924,0.00531573056595045
77,relu,adam,11,0.0001,0.47787578131754715,0.026576244844499743,137,26.158435440063478,0.004200458526611328,5.323644254037662,0.00039994751820783314
135,relu,adam,11,0.001,0.4772261404687105,0.027406492200197564,150,24.606961965560913,0.004599905014038086,7.050756260280381,0.0007980946265074006
193,relu,adam,11,0.01,0.47838985229027997,0.026062961853611365,121,27.242835426330565,0.004000616073608398,4.580414336835758,3.1427873713081517e-06
251,relu,adam,11,0.1,0.47747021788494665,0.0276214663985735,145,24.204423332214354,0.004600238800048828,6.873474809128642,0.0004891647275493965
309,relu,adam,11,1,0.47750391841867695,0.027537190272216752,144,24.92522168159485,0.007199430465698242,7.074794960204747,0.005418949833165752
