,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,1,1e-05,-0.581587368532522,0.09575026836446389,73,13.022709051767984,0.0,0.3212978877958154,0.0
19,relu,adam,1,0.0001,-0.5817505365051444,0.09577554216823718,75,18.318143765131634,0.010415474573771158,0.40784731660253537,0.007364852706178304
37,relu,adam,1,0.001,-0.5793353180425905,0.09841769257812225,71,18.626619736353557,0.0,0.7440430292095591,0.0
55,relu,adam,1,0.01,-0.5818772227096478,0.0962331115187876,76,18.10119613011678,0.0,0.13407685133362754,0.0
73,relu,adam,1,0.1,-0.5816775080488027,0.09610354465006002,74,17.830686728159588,0.0,0.21383877833455203,0.0
91,relu,adam,1,1,-0.581298099395675,0.09653910906566164,72,17.660887718200684,0.005211671193440755,0.30501160383525167,0.007370416084393091
3,relu,adam,2,1e-05,0.41800840457719396,0.03677955320505649,22,15.18788774808248,0.0,0.2797936479069175,0.0
21,relu,adam,2,0.0001,0.4180173966689094,0.03677851262322517,21,19.661990880966187,0.0,0.1078013195840178,0.0
39,relu,adam,2,0.001,0.4180049410720752,0.036756043481647606,23,19.906690041224163,0.005212545394897461,0.1815344869637037,0.00737165239194941
57,relu,adam,2,0.01,0.4180270795974286,0.036796994979394294,20,21.210465510686237,0.005209922790527344,0.32073396940888727,0.007367943469280451
75,relu,adam,2,0.1,0.41805035388724193,0.03680317045073606,19,19.653631607691448,0.0006776650746663412,0.2629634986918458,0.00047918442657214703
93,relu,adam,2,1,0.417630942470162,0.03685496538206405,24,19.80761655171712,0.0,0.268922497472905,0.0
5,relu,adam,3,1e-05,0.45145129614741775,0.032844935552856044,4,16.0031795501709,0.005209684371948242,0.16082636364806144,0.007367606294492364
23,relu,adam,3,0.0001,0.45145021865606044,0.03283945889283204,5,20.264208952585857,0.0052098433176676435,0.2819233364528107,0.007367831077684422
41,relu,adam,3,0.001,0.4514646732276308,0.032849465172218345,3,20.376142024993896,0.0,0.08397856914172631,0.0
59,relu,adam,3,0.01,0.45146522783457543,0.03284218638987251,2,19.738372961680096,0.005209922790527344,0.21091509835680022,0.007367943469280451
77,relu,adam,3,0.1,0.45082313660276635,0.033498923688277,6,20.19178009033203,0.005211353302001953,0.12779161775208892,0.007369966518008974
95,relu,adam,3,1,0.4516512352483881,0.03275617356235184,1,20.292295773824055,0.005210399627685547,0.22745737958611015,0.007368617818856626
