,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,5,1e-05,0.35856558903193964,0.012036038864420492,21,23.183179140090942,0.0,3.886917153551833,0.0
21,relu,adam,5,0.0001,0.36069826690296186,0.012553078241967473,19,23.140549182891846,0.005214134852091472,4.09551726190571,0.00737390022386999
41,relu,adam,5,0.001,0.35436295766049586,0.01722803031247525,28,22.337376912434895,0.005209525426228841,4.333408652962948,0.007367381511300306
61,relu,adam,5,0.01,0.3558889785260176,0.01608175763766634,27,19.62316910425822,0.0,3.0664726219454064,0.0
81,relu,adam,5,0.1,0.35292247315286734,0.020112760541231768,29,22.468526283899944,0.0,3.395238730943117,0.0
101,relu,adam,5,1,0.35211993539909353,0.012453752082542282,30,23.605748176574707,0.0,2.490620985846424,0.0
3,relu,adam,6,1e-05,0.3670422248160914,0.03521841076277873,14,13.981469949086508,0.0,4.090415598484997,0.0
23,relu,adam,6,0.0001,0.3654874649725999,0.033330838655320556,17,14.804532130559286,0.005209684371948242,3.992361690595293,0.007367606294492364
43,relu,adam,6,0.001,0.3671880021914909,0.03542739383192383,12,14.7467409769694,0.0,3.5677324725276023,0.0
63,relu,adam,6,0.01,0.36727271655672317,0.03539578860727876,10,14.733481804529825,0.0,3.8657796514712275,0.0
83,relu,adam,6,0.1,0.36563223225371844,0.03341865729461414,15,14.628735462824503,0.0,3.971957255878741,0.0
103,relu,adam,6,1,0.36264615651723614,0.029659695703993346,18,14.908281644185385,0.0052098433176676435,3.741238917739815,0.007367831077684421
5,relu,adam,7,1e-05,0.34590193307872347,0.04054959764773306,41,18.378310759862263,0.0,1.8207505435260298,0.0
25,relu,adam,7,0.0001,0.3459103175364922,0.04056918081542475,40,18.33772881825765,0.005211035410563151,1.645463627985436,0.007369516951624857
45,relu,adam,7,0.001,0.34723935726614136,0.0406566468296557,36,18.563424428304035,0.005211671193440755,1.6855794515236566,0.007370416084393091
65,relu,adam,7,0.01,0.34870855480584684,0.04080584436822697,33,19.07113289833069,0.0,2.4746790026604533,0.0
85,relu,adam,7,0.1,0.34682418640200346,0.04451179060505034,37,21.01309084892273,0.00520785649617513,3.4723080615373103,0.007365021287783696
105,relu,adam,7,1,0.3502030296930423,0.04093721668357904,32,19.276197910308838,0.010418891906738281,3.0192387195125403,0.0073672692457268886
7,relu,adam,9,1e-05,0.3736069426504751,0.039287293788831695,7,18.062673648198444,0.0,8.867254605292448,0.0
27,relu,adam,9,0.0001,0.3736082756574461,0.039285191997493474,6,18.192673126856487,0.00521087646484375,9.111456844583492,0.007369292168432799
47,relu,adam,9,0.001,0.3753105056575478,0.037059528541392585,2,17.05217703183492,0.005210479100545247,7.319627163063562,0.007368730210452655
67,relu,adam,9,0.01,0.3736127719698972,0.03928158734121409,5,18.67156481742859,0.0,9.448737558919007,0.0
87,relu,adam,9,0.1,0.37366412364668317,0.039245479435260876,4,18.22056047121684,0.005210479100545247,9.141941306135566,0.007368730210452655
