,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,2,1e-05,0.4238644959431405,0.021419209782123447,18,7.329585631688436,0.0,0.1843073705134503,0.0
23,relu,adam,2,0.0001,0.42386451968241534,0.021419205789416203,17,8.181411027908325,0.005209922790527344,0.4836579215178812,0.007367943469280451
45,relu,adam,2,0.001,0.4238647065321199,0.02141907021333572,16,8.197884400685629,0.010418415069580078,0.37397348561616306,0.007366932109524686
67,relu,adam,2,0.01,0.4238694729392962,0.021423242102634205,15,8.2892587184906,0.0052102406819661455,0.249730564144096,0.007368393035664568
89,relu,adam,2,0.1,0.42388640350885415,0.021410847203252262,14,8.23788857460022,0.005209525426228841,0.21358567818821117,0.007367381511300306
111,relu,adam,2,1,0.42574156162198734,0.02048764391031648,13,8.810939391454061,0.0,0.36456268614147147,0.0
3,relu,adam,3,1e-05,0.40861695778644536,0.026251860503307613,39,10.554702758789062,0.010419686635335287,1.4200436898821631,0.00736783114197677
25,relu,adam,3,0.0001,0.40775347613575263,0.025140877344892672,40,11.165834665298462,0.0,1.25499020822303,0.0
47,relu,adam,3,0.001,0.40874660823681186,0.026154593070713536,38,11.875062465667725,0.0,1.5699234607912074,0.0
69,relu,adam,3,0.01,0.40691323588114364,0.02527097593158147,42,11.107414881388346,0.0,0.9160279287465017,0.0
91,relu,adam,3,0.1,0.40698384710354346,0.025159598798835524,41,10.99124296506246,0.0,0.7337591609682161,0.0
113,relu,adam,3,1,0.4088741012264972,0.02629432071095013,37,11.950276136398315,0.0,1.5467744477424916,0.0
5,relu,adam,4,1e-05,0.41110342992103605,0.02241698376460444,35,7.4155722459157305,0.0,3.16252203774273,0.0
27,relu,adam,4,0.0001,0.4111000085538616,0.022419813337520612,36,8.245441516240438,0.0,3.2232991146832495,0.0
49,relu,adam,4,0.001,0.4128110080077388,0.020958004053468888,33,8.31092389424642,0.0052098433176676435,3.5554914877931347,0.007367831077684421
71,relu,adam,4,0.01,0.41399543124124255,0.020178230372158913,31,8.29461415608724,0.005209922790527344,3.5745520675472333,0.007367943469280451
93,relu,adam,4,0.1,0.41133618563068614,0.0220887692621137,34,8.272252162297567,0.005209922790527344,3.4503830330080416,0.007367943469280451
115,relu,adam,4,1,0.41355528897143384,0.021461349569904805,32,8.368914365768433,0.0,3.3334354635902192,0.0
7,relu,adam,5,1e-05,0.40587119609869937,0.03220210625433861,46,6.217057387034099,0.0017523765563964844,1.9600494778163102,0.002478234692440569
29,relu,adam,5,0.0001,0.4058619778441883,0.032189114767738704,47,6.962517499923706,0.0,2.1243079683717325,0.0
51,relu,adam,5,0.001,0.40589750303158234,0.03217203977253115,45,7.009843269983928,0.00521087646484375,2.2547584684561826,0.007369292168432799
73,relu,adam,5,0.01,0.40601393462722407,0.03210689223740851,44,7.0375566482543945,0.0,2.1033805948297197,0.0
95,relu,adam,5,0.1,0.40580281651952627,0.03224289030966134,48,7.007038831710815,0.005209763844807942,2.016384815261252,0.007367718686088393
117,relu,adam,5,1,0.4061434627654281,0.03219243312268341,43,7.054221471150716,0.0052106380462646484,2.1457138479982505,0.007368954993644712
9,relu,adam,6,1e-05,0.4291469061856752,0.0344257525503999,3,6.6899198691050215,0.005210002263387044,0.5308314490952278,0.0073680558608764804
31,relu,adam,6,0.0001,0.429146940943899,0.034425741754179055,2,7.267998218536377,0.0,0.6008013072413148,0.0
53,relu,adam,6,0.001,0.4291383931870298,0.03441652702548252,4,7.156914393107097,0.0052102406819661455,0.45199368115087724,0.007368393035664568
75,relu,adam,6,0.01,0.42916594436470906,0.03440508786708962,1,7.201755205790202,0.005209445953369141,0.6415409733014816,0.007367269119704277
97,relu,adam,6,0.1,0.4278636892570265,0.03251067960155861,7,6.755554119745891,0.0,0.26821208820432385,0.0
119,relu,adam,6,1,0.42773044287912715,0.03178959167089033,8,6.725996812184651,0.005210479100545247,0.26809569009468,0.007368730210452655
11,relu,adam,7,1e-05,0.3890582752784006,0.0313508882495652,61,6.931705872217814,0.0,1.0270905094133633,0.0
33,relu,adam,7,0.0001,0.38904994433380663,0.031352956044327585,62,7.133431434631348,0.005210479100545247,1.1335164511032916,0.007368730210452655
55,relu,adam,7,0.001,0.3890386788233055,0.03141587913198441,63,7.115779002507527,0.010418415069580078,1.0415065336441387,0.007366932037508469
77,relu,adam,7,0.01,0.3962386982642661,0.022646354476704107,53,6.737236022949219,0.005209287007649739,0.9032894333285683,0.007367044336512219
99,relu,adam,7,0.1,0.38702579732347114,0.02915345672371645,65,7.012057065963745,0.0,1.0228553323122076,0.0
121,relu,adam,7,1,0.39025128130589914,0.03130936109903651,60,7.082575798034668,0.005209128061930339,1.095803779968888,0.00736681955332016
15,relu,adam,8,1e-05,0.39757810103692154,0.018504733821391044,51,7.933165550231934,0.0,2.7943318034487317,0.0
37,relu,adam,8,0.0001,0.39318785952059315,0.012860572735868821,56,8.801480452219645,0.0052098433176676435,4.262935094225323,0.007367831077684422
59,relu,adam,8,0.001,0.3938155388635267,0.013374823899055196,54,8.887134790420532,0.0,4.263805594766999,0.0
81,relu,adam,8,0.01,0.3929068023039486,0.012315954008640283,57,8.90825351079305,0.005209287007649739,4.174761587638164,0.007367044336512219
103,relu,adam,8,0.1,0.4007697381833002,0.02259158848064134,49,8.121394157409668,0.0,3.080167605988558,0.0
125,relu,adam,8,1,0.39905436310275677,0.01908434661741614,50,8.101177295049032,0.005209684371948242,3.228272578587456,0.007367606294492364
17,relu,adam,13,1e-05,0.4141627082329263,0.02593624845340087,30,9.37616237004598,0.01042016347249349,2.7075980546878924,0.007368168345049253
39,relu,adam,13,0.0001,0.41642847946371436,0.02815904005087872,28,8.949159145355225,0.005208889643351237,2.1457024686797426,0.007366482378532073
61,relu,adam,13,0.001,0.41803121539874155,0.029799550699451546,25,8.737494468688965,0.0,1.8947100085097612,0.0
83,relu,adam,13,0.01,0.41571207490934126,0.027902542784869193,29,8.683065811793009,0.0156250794728597,1.8936360882436345,1.5120742790254314e-06
105,relu,adam,13,0.1,0.41736954972616097,0.028178757809845443,27,8.643097480138143,0.005209604899088542,1.8159644488530262,0.007367493902896334
127,relu,adam,13,1,0.41745856017664634,0.02829871795216798,26,8.489873806635538,0.01041849454243978,1.8921573920595687,0.007366988156789131
21,relu,adam,29,1e-05,0.42122909476647097,0.027101346061267236,23,10.255575021107992,0.0052106380462646484,1.3300821257665578,0.007368954993644712
43,relu,adam,29,0.0001,0.421309733072774,0.027055456689774646,22,10.270707686742147,0.0,1.3224250064542478,0.0
65,relu,adam,29,0.001,0.42085398622377745,0.026593114122166275,24,10.318586746851603,0.00521079699198405,1.3186364319466015,0.00736917977683677
87,relu,adam,29,0.01,0.4213695686836858,0.029820675403813314,21,10.308889865875244,0.005211035410563151,1.262739785834515,0.007369516951624857
109,relu,adam,29,0.1,0.4228590296818009,0.02918433365209718,19,10.229719400405884,0.0,1.2579382384300752,0.0
131,relu,adam,29,1,0.42233119634796773,0.028698352492009437,20,10.161866982777914,0.0,1.3007595674145904,0.0
13,relu,adam,39,1e-05,0.42744447379345224,0.01580055151652833,10,9.016711870829264,0.0,2.500490006550347,0.0
35,relu,adam,39,0.0001,0.4280601861147409,0.01667123596506629,6,8.392305930455526,0.005613565444946289,1.7837729010265007,0.007938780385512
57,relu,adam,39,0.001,0.4274854070992468,0.01590317984810055,9,8.841271241505941,0.005211750666300456,2.424351312423241,0.007370528475989118
79,relu,adam,39,0.01,0.42818967730872615,0.01689649352883081,5,8.480077584584555,0.005210081736246745,1.9265782554553326,0.007368168252472509
101,relu,adam,39,0.1,0.42728720135605675,0.015519028211930885,11,8.875039339065552,0.005209207534790039,2.297929534694209,0.00736693194491619
123,relu,adam,39,1,0.4271624706851294,0.01605023384739736,12,8.356093724568685,0.005209445953369141,1.8632058112027992,0.007367269119704277
19,relu,adam,113,1e-05,0.3936839747475925,0.024191309182594954,55,17.44656991958618,0.0,3.337660123246947,0.0
41,relu,adam,113,0.0001,0.3918603222670533,0.02234501543932605,59,17.36491338411967,0.0,3.3048092261092763,0.0
63,relu,adam,113,0.001,0.3926573270461328,0.021845618566029547,58,17.497964302698772,0.005209287007649739,3.3155749450658436,0.007367044336512219
