,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,4,1e-05,0.43063944396795795,0.05410379342466906,23,16.481809695561726,0.00520936648050944,2.506334673167579,0.007367156728108248
23,relu,adam,4,0.0001,0.4306394975951264,0.05410378974456748,22,18.64962108929952,0.0,2.0731778653925366,0.0
45,relu,adam,4,0.001,0.43341053970801996,0.05442023386991243,16,16.56213116645813,0.0,2.5962201089677404,0.0
67,relu,adam,4,0.01,0.4332665407380145,0.05433490160915863,17,16.933871269226074,0.010420719782511393,1.926816074481151,0.007368561628844348
89,relu,adam,4,0.1,0.43318729670040446,0.054414479365770096,18,17.55706524848938,0.005209445953369141,1.8943067853664473,0.007367269119704277
111,relu,adam,4,1,0.43402530725944577,0.05420510774373269,15,15.406245470046997,0.0,0.9118290444522253,0.0
3,relu,adam,5,1e-05,0.4214470244052512,0.057759085825848815,35,18.370713710784912,0.0,2.279224866304256,0.0
25,relu,adam,5,0.0001,0.4219440646617761,0.058283100695386614,32,18.26694917678833,0.003999074300130208,2.515726154783706,1.1239159602905075e-07
47,relu,adam,5,0.001,0.4240010600446822,0.05457116417047118,30,19.06024686495463,0.005209445953369141,2.600763655045896,0.007367269119704277
69,relu,adam,5,0.01,0.42864781931537,0.050321424166383785,25,16.68325750033061,0.0052098433176676435,3.2962857469363622,0.007367831077684422
91,relu,adam,5,0.1,0.41944027573566034,0.05818280865392773,41,21.24560085932414,0.010419925053914389,2.512100625310879,0.007367999665721375
113,relu,adam,5,1,0.42443688693282855,0.05436135048383653,29,17.94465430577596,0.0,2.317498236629631,0.0
5,relu,adam,6,1e-05,0.4442201272334581,0.047524827586238834,5,13.971839586893717,0.0,2.5255131960057207,0.0
27,relu,adam,6,0.0001,0.4442211099096321,0.04752224655419613,4,14.089143832524618,0.011751810709635416,2.31176974733158,0.005482911624137004
49,relu,adam,6,0.001,0.4452730185299559,0.04877484596726655,3,13.81275455156962,0.005210320154825847,1.989425106242422,0.007368505427260596
71,relu,adam,6,0.01,0.4442120318296694,0.047523702852036664,6,14.091522773106893,0.005210320154825847,2.367389123023395,0.007368505427260596
93,relu,adam,6,0.1,0.44527517993737636,0.04875585064055157,2,13.705344518025717,0.010422945022583008,1.9269812123323915,0.007370136910810265
115,relu,adam,6,1,0.4453928660275233,0.048779421731937195,1,13.745348532994589,0.00520785649617513,2.0436573184582256,0.007365021287783696
7,relu,adam,7,1e-05,0.4254157917215977,0.061923072871596235,27,17.14106599489848,0.0052111148834228516,4.329398412778907,0.0073696293432208865
29,relu,adam,7,0.0001,0.4247790190481588,0.06262470273969958,28,16.92625840504964,0.0,4.104883352701192,0.0
51,relu,adam,7,0.001,0.4216865990577399,0.06448810383366817,33,17.08365750312805,0.005210479100545247,2.8378588782832717,0.007368730210452655
73,relu,adam,7,0.01,0.4261526379941931,0.06257395269039545,26,14.494236707687378,0.010420719782511393,2.379160313765208,0.0073685616751302495
95,relu,adam,7,0.1,0.42149002675312164,0.06512423422033504,34,19.730206569035847,0.0,2.178488053899008,0.0
117,relu,adam,7,1,0.4196157011314588,0.06781927098030406,40,18.95110026995341,0.0,4.834993790315041,0.0
11,relu,adam,9,1e-05,0.42118905087568054,0.06837716937994276,37,18.489078203837078,0.005210081736246745,6.394966696168657,0.007368168252472509
33,relu,adam,9,0.0001,0.4213882720881321,0.06860134524614593,36,18.27056097984314,0.010419130325317383,6.630143083009812,0.00736743771288494
55,relu,adam,9,0.001,0.42107674253203453,0.06850310620484208,38,18.60051131248474,0.005210558573404948,6.587197165860155,0.007368842602048683
77,relu,adam,9,0.01,0.42065950346714814,0.06816010130620395,39,19.090979019800823,0.0,6.671671188784108,0.0
99,relu,adam,9,0.1,0.41523696408365124,0.06853794538574766,43,22.78288475672404,0.005209763844807942,3.9596311834028524,0.007367718686088393
121,relu,adam,9,1,0.4226444204473722,0.05850263529801967,31,21.45930592219035,0.0,3.981245015923094,0.0
13,relu,adam,11,1e-05,0.4394349625636666,0.05844759185008074,10,17.443965276082356,0.005210717519124349,4.04758359815505,0.007369067385240742
35,relu,adam,11,0.0001,0.43939299906418783,0.058448992261464994,11,17.403897285461426,0.005209128061930339,3.840128160072187,0.00736681955332016
57,relu,adam,11,0.001,0.43948487446966755,0.058444512555102794,9,17.404568592707317,0.005209445953369141,4.0508165951596675,0.007367269119704277
79,relu,adam,11,0.01,0.43962830023340654,0.05821334140948764,8,17.484500249226887,0.0,4.168096988097186,0.0
101,relu,adam,11,0.1,0.4392497186337241,0.05806174571352793,12,17.17195479075114,0.0,3.9832030963541465,0.0
123,relu,adam,11,1,0.44001459370438417,0.0581083949850246,7,16.778492371241253,0.0,3.725254418771267,0.0
15,relu,adam,15,1e-05,0.42960464397057746,0.048821627867496706,24,23.63724144299825,0.0052076975504557295,5.411274907647912,0.007364796504591637
