,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,1,1e-05,-0.5760933421807816,0.09680302140342177,77,12.40992538134257,0.002669095993041992,0.07481346564574971,0.0004676634163604116
19,relu,adam,1,0.0001,-0.5765356348300538,0.09677696298727256,79,14.318740765253702,0.0030008951822916665,0.0623661296190599,1.9979167127571954e-06
37,relu,adam,1,0.001,-0.5763718235193763,0.09636837770871738,78,19.448148488998413,0.003668069839477539,0.5722757827800428,0.00047120177640471074
55,relu,adam,1,0.01,-0.5745048202171945,0.09530765365564521,74,19.392327229181927,0.004332542419433594,0.26661798630440253,0.001248594297345362
73,relu,adam,1,0.1,-0.574877187035168,0.0962947534126377,76,18.329766114552815,0.0040005842844645185,0.13261909237259586,0.0008124485764927291
91,relu,adam,1,1,-0.5748151792153627,0.09745569818873533,75,17.750444571177166,0.00400090217590332,0.29558965770535406,1.8570139321562326e-06
3,relu,adam,2,1e-05,0.34288205512451314,0.06739162401888016,17,14.472958405812582,0.002335151036580404,0.05544485234686475,0.0004714841920967842
21,relu,adam,2,0.0001,0.342903673924122,0.06755146410655435,16,16.183390378952026,0.002999385197957357,0.28259144064725084,0.0008167294057348078
39,relu,adam,2,0.001,0.34282683890647986,0.06814695285742987,18,21.097044547398884,0.004001140594482422,0.041509871935905635,1.6970758838703332e-06
57,relu,adam,2,0.01,0.3401546474713319,0.06806112380969356,20,20.916877905527752,0.004333019256591797,0.11442698878752262,0.0004727222995772231
75,relu,adam,2,0.1,0.3427691505019557,0.06787619318882777,19,20.273034413655598,0.004333655039469401,0.5221600381388862,0.0004709207873617227
93,relu,adam,2,1,0.3487386485490947,0.06034876712465533,14,20.415290037790935,0.0033326943715413413,0.38781281889806274,0.00047030312711791427
5,relu,adam,3,1e-05,0.3691188655035272,0.02688257809350371,9,15.693183501561483,0.0030008157094319663,0.09486234540759954,1.0721474936192862e-06
23,relu,adam,3,0.0001,0.36908361894736147,0.02691675062956918,11,18.939110040664673,0.0036684672037760415,0.34553738613188373,0.0009416192263664678
41,relu,adam,3,0.001,0.3693958885509951,0.02635111619450975,8,22.025526762008667,0.003333886464436849,0.4478731103015364,0.0004711455705537807
59,relu,adam,3,0.01,0.36910526163493557,0.02677624688142762,10,20.855420509974163,0.003664811452229818,0.1253650817142716,0.00047159770833060514
77,relu,adam,3,0.1,0.3684610314418326,0.027876526717442923,12,20.946232318878174,0.003999153772989909,0.14753598977104876,1.0721474936192864e-06
95,relu,adam,3,1,0.3740730772712347,0.022798485276322233,7,21.108800729115803,0.0033349196116129556,0.08170209542501408,0.0004707539005298214
7,relu,adam,4,1e-05,0.31155959295270796,0.052676116186227966,27,16.95988154411316,0.007330973943074544,0.4242404315553671,0.006846233744600723
25,relu,adam,4,0.0001,0.3103300467908689,0.053542569087302,28,20.14123797416687,0.004000027974446614,0.3190362698490049,3.796441050369322e-06
43,relu,adam,4,0.001,0.30899948632300156,0.054305877178438926,29,23.22663974761963,0.0033331712086995444,0.9165249360605355,0.00047485704696574675
