,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,5,1e-05,0.28846491355550447,0.01912570749469573,17,36.592241048812866,0.003664890925089518,1.6652135031552908,0.0004721570949180422
25,relu,adam,5,0.0001,0.2902785594985434,0.024137022329377793,16,35.69584560394287,0.003667036692301432,4.0839072962825185,0.0004716530300561979
49,relu,adam,5,0.001,0.2971885462481712,0.02052161337038494,13,34.37815817197164,0.0033343633015950522,4.262926498349375,0.0004706410262252791
73,relu,adam,5,0.01,0.29577272789606024,0.022761906501727536,14,36.08819365501404,0.0036676724751790366,1.3280635007275807,0.0004707539005298214
97,relu,adam,5,0.1,0.28336197708079636,0.01014285843661426,20,34.24592240651449,0.003667593002319336,1.999560839543501,0.00047137232340846376
121,relu,adam,5,1,0.2948664311476134,0.020679776094044144,15,35.29404282569885,0.0036672751108805337,1.333827647025324,0.00047181996028893236
3,relu,adam,6,1e-05,0.3113693525214685,0.01838250776774727,8,35.924776792526245,0.004002571105957031,1.2943763371993673,1.557343637328579e-06
27,relu,adam,6,0.0001,0.3068961849789903,0.0149081937148714,12,37.350740909576416,0.002999544143676758,1.9534122566502548,1.0300859925600466e-06
51,relu,adam,6,0.001,0.31815075408818977,0.023607378770990728,3,36.745379050572716,0.003999869028727214,0.7018725208163806,1.4740019632173703e-06
75,relu,adam,6,0.01,0.310571901132666,0.020282465536982087,9,33.26406176884969,0.0036681493123372397,3.0941537756543744,0.00047260862581229853
99,relu,adam,6,0.1,0.31424356039913576,0.017098216567022033,5,35.66222858428955,0.0036667188008626304,1.705255981991198,0.0004724381641475821
123,relu,adam,6,1,0.32549981464723454,0.01863472510893376,2,32.11889775594076,0.00333404541015625,4.0027775422292216,0.00047137099690188665
5,relu,adam,7,1e-05,0.3095148977197168,0.024915107700316796,10,40.77443687121073,0.004000266393025716,0.6383781517125224,7.867411722033553e-07
29,relu,adam,7,0.0001,0.3089578784041445,0.02525636188322222,11,38.75977802276611,0.003665924072265625,0.18183574341699016,0.0004712018568280267
53,relu,adam,7,0.001,0.31589281838126854,0.027916686575601785,4,34.763646046320595,0.003663778305053711,3.885089425211441,0.00046920707716801153
77,relu,adam,7,0.01,0.31175507283422,0.02823802634504604,7,37.92902421951294,0.003666480382283529,0.692229992501809,0.0004714266399769444
101,relu,adam,7,0.1,0.3128863992068807,0.024072644969619767,6,35.393601735432945,0.004001696904500325,4.354832567780097,1.9692598491293376e-06
125,relu,adam,7,1,0.32724588127981763,0.028303784070941567,1,35.216876109441124,0.0033341248830159507,3.7712187193658555,0.00047148290609263344
7,relu,adam,8,1e-05,0.26998395877863474,0.030174595651663933,29,40.80908052126566,0.0036683877309163413,0.46918371439061674,0.0004719323117259841
31,relu,adam,8,0.0001,0.2740666509808612,0.029074573746494966,25,38.43115218480428,0.004668633143107097,1.92928322815633,0.0012484556378915279
55,relu,adam,8,0.001,0.28627736493626704,0.023478927565876558,18,38.760670026143394,0.003999233245849609,0.3038457811272939,4.242689709675833e-06
79,relu,adam,8,0.01,0.28129799640281744,0.0212061802066438,21,38.445896784464516,0.003999869028727214,0.33880477440327483,7.370009816086852e-07
103,relu,adam,8,0.1,0.284569368603293,0.01846215518452564,19,37.291804234186806,0.004001220067342122,1.922307931415992,2.063235439578242e-06
127,relu,adam,8,1,0.274178273292472,0.041091793566669706,24,37.400272846221924,0.004000027974446614,1.9893985438407331,0.0008161457268991239
9,relu,adam,9,1e-05,0.26067713821233124,0.03654573781883975,36,43.132959047953285,0.004999955495198567,1.0227544602227017,0.001415066660952201
33,relu,adam,9,0.0001,0.2661085216100224,0.0378353745605437,31,36.81075270970663,0.00400082270304362,9.368343388527077,2.170642262100802e-06
57,relu,adam,9,0.001,0.2580735222826049,0.03965431109329901,39,40.604050159454346,0.0046694278717041016,0.14878307048895173,0.00047322842865453056
81,relu,adam,9,0.01,0.26083209722106254,0.04381829984999281,35,41.04321535428365,0.004001220067342122,0.5987239816948122,2.4649401377472594e-06
105,relu,adam,9,0.1,0.2622078714725294,0.03565148014639241,34,41.6400895913442,0.004002809524536133,0.4426327974869938,2.0323931141764992e-06
129,relu,adam,9,1,0.2655873354761201,0.04734780046238587,32,34.88308183352152,0.004669745763142903,9.441564981160859,0.000944709009524545
13,relu,adam,11,1e-05,0.27023487201714835,0.03020522579890898,28,46.11552413304647,0.012001673380533854,0.23432248427877597,0.009900688093450257
37,relu,adam,11,0.0001,0.2693063025579844,0.03182223338748794,30,45.48619135220846,0.004335482915242513,0.6788914202856413,0.0004708098445928235
61,relu,adam,11,0.001,0.271027540373262,0.022237777796758586,27,43.88860670725504,0.004669030507405599,0.34157988275708945,0.0004732824521362155
85,relu,adam,11,0.01,0.27167236762346597,0.02899454956681952,26,44.13709171613058,0.004334608713785808,0.5106832254607857,0.0004695721285605916
109,relu,adam,11,0.1,0.2803641074014696,0.02405507950828327,22,44.35875407854716,0.004334449768066406,0.18307858622160086,0.00047019105802476746
133,relu,adam,11,1,0.27937366666115326,0.020988875629150864,23,44.04503599802653,0.004333972930908203,0.28175935595244145,0.0004698538838222819
15,relu,adam,14,1e-05,0.25049056251796037,0.015807947219151082,40,48.961321671803795,0.004998842875162761,1.2562325889413273,0.0008160480736998365
39,relu,adam,14,0.0001,0.26356497603883805,0.015683272373474215,33,48.28236770629883,0.004667520523071289,0.43030976230588636,0.0009440918351021744
63,relu,adam,14,0.001,0.2584851191607149,0.014824596592442526,37,47.31495022773743,0.004333655039469401,0.3010157652085567,0.00047226952663482016
87,relu,adam,14,0.01,0.24617520027072456,0.004582501255225359,41,47.17730744679769,0.0043341318766276045,0.31070037386616206,0.00047108938481108014
111,relu,adam,14,0.1,0.25819926611673033,0.012758036347772965,38,47.6027577718099,0.004668315251668294,0.5572315507971156,0.0004726073027757551
135,relu,adam,14,1,0.2404770620306147,0.010754914443315748,42,47.32522479693095,0.003998756408691406,0.2134037827894555,7.018852922382233e-07
17,relu,adam,18,1e-05,0.17377534196967773,0.05059726396123469,62,52.65359123547872,0.004666328430175781,0.7032257122854008,0.0004706974533427407
41,relu,adam,18,0.0001,0.16630831491015505,0.045161114545626886,68,51.77362569173177,0.00466767946879069,0.8929140644447204,0.00047114561077023757
65,relu,adam,18,0.001,0.17183538765204612,0.046897943125742386,64,50.31707866986593,0.004334926605224609,0.1546032020311783,0.0004696846411716295
89,relu,adam,18,0.01,0.17080469348210026,0.03831735658717422,65,50.86111871401469,0.0039997100830078125,0.4204105378219039,7.018852922382233e-07
113,relu,adam,18,0.1,0.18041029330827094,0.022911325016021104,61,50.51607616742452,0.00500186284383138,0.20417459824479783,7.867411722033553e-07
137,relu,adam,18,1,0.19198105077683167,0.022051196848166935,56,50.91732096672058,0.0043341318766276045,0.25599361021236117,0.0004731141155628403
