,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,2,1e-05,0.41068467865338326,0.01620320566419884,4,14.357086737950643,0.004001299540201823,0.9498052657379372,0.0008178020546582619
23,relu,adam,2,0.0001,0.4135673696241982,0.020410716802121382,1,15.288164138793945,0.0033341248830159507,0.8038750788284261,0.000473002285189514
45,relu,adam,2,0.001,0.41129294377908066,0.008768261491293979,2,15.502833684285482,0.004002173741658528,1.8582110807498697,3.122787905436913e-06
67,relu,adam,2,0.01,0.41101021962708567,0.01573410334817327,3,14.750510772069296,0.00333555539449056,1.2661478999887947,0.0004691251067709916
89,relu,adam,2,0.1,0.4062047403679845,0.016678595709983757,5,15.362676779429117,0.0036675135294596353,1.172866879279653,0.0004709774759874419
111,relu,adam,2,1,0.3885740186920132,0.01804123224224306,6,16.955401023228962,0.0036678314208984375,1.3898941956832438,0.0004722133007474379
3,relu,adam,3,1e-05,-0.02519102592246088,0.024911465606402585,79,27.164408524831135,0.003998200098673503,0.22856923690093217,2.354865454042602e-06
25,relu,adam,3,0.0001,-0.02768222508218406,0.022158346073411512,81,28.026065746943157,0.0036662419637044272,0.34707798909967913,0.00046990926299746123
47,relu,adam,3,0.001,-0.02095970899848254,0.027688652878771595,77,27.966694275538128,0.00399931271870931,0.2692316791572453,4.49566384116203e-07
69,relu,adam,3,0.01,-0.026272053570121745,0.016953436056455395,80,27.778248230616253,0.0033336480458577475,0.12046901135791824,0.00047249683620563353
91,relu,adam,3,0.1,-0.02769828842122013,0.026494929770200126,82,27.552983204523724,0.0033342838287353516,0.13896873435550114,0.00047187620627490306
113,relu,adam,3,1,-0.011957778413626663,0.020046728780624825,76,27.974324067433674,0.0040005842844645185,0.29459456930596484,4.899036091938795e-07
5,relu,adam,4,1e-05,0.3747429554865465,0.02337087025891532,13,13.610074838002523,0.0036651293436686196,0.5242550087918562,0.0004708103677793025
27,relu,adam,4,0.0001,0.3789555084113219,0.023694570466055706,9,12.716666539510092,0.003999551137288411,1.822137759549616,2.9736021254650284e-07
49,relu,adam,4,0.001,0.3778321327173501,0.01803545533921185,10,12.358631054560343,0.0033361117045084634,1.5745209413113894,0.00047177337357725484
71,relu,adam,4,0.01,0.3759923005566927,0.030719687407710278,12,13.14054250717163,0.003333489100138346,2.4224807070072294,0.00047210098942394396
93,relu,adam,4,0.1,0.38731408255517813,0.019165270054137918,7,12.00220282872518,0.0036667188008626304,1.2440444575242955,0.0004712583240114754
115,relu,adam,4,1,0.37461319366528484,0.026141705054903992,14,12.195783376693726,0.0036679903666178384,1.242096140420614,0.00047182056267318226
7,relu,adam,5,1e-05,0.37779560340188206,0.02372765859020299,11,16.51714809735616,0.00399931271870931,3.180897807663374,1.4349198409134378e-06
29,relu,adam,5,0.0001,0.35480217475760206,0.039406856605724516,28,19.06261436144511,0.004000663757324219,0.9163571408434673,1.520405329840103e-06
51,relu,adam,5,0.001,0.35504868637643855,0.041598064838482836,27,18.54483970006307,0.0036650498708089194,2.0628792498261874,0.0004700778604684559
73,relu,adam,5,0.01,0.38247637729903267,0.027205694776871802,8,15.776996771494547,0.004000663757324219,3.3244051155098084,1.4697108275816383e-06
95,relu,adam,5,0.1,0.3495247570621057,0.040445256490026726,30,19.636376937230427,0.003998517990112305,0.8020189073069827,2.9070124877567104e-06
117,relu,adam,5,1,0.37003372219614966,0.023151292511950514,17,16.759348074595135,0.004333893458048503,3.396895043106132,0.0004702478883440629
15,relu,adam,6,1e-05,0.33407057226276465,0.031214061288948172,41,16.779815435409546,0.0036667982737223306,1.568292383179164,0.00047114814440009454
37,relu,adam,6,0.0001,0.3348854847594607,0.03261329125404493,40,16.58132775624593,0.003999789555867513,1.3546598417755686,1.6556315943399795e-06
59,relu,adam,6,0.001,0.33505805055354054,0.031691087495244796,38,16.514222462972004,0.003999948501586914,1.3847837097141313,1.083865300574768e-06
81,relu,adam,6,0.01,0.333068981759342,0.04818630455993343,43,15.068981806437174,0.0039997100830078125,3.4167446053848143,2.9394216551632767e-06
103,relu,adam,6,0.1,0.33630800851908277,0.032490150398442816,37,15.280214468638102,0.004331032435099284,2.218869732340213,0.00047125993228218295
125,relu,adam,6,1,0.3453376029607396,0.041516878455673485,33,14.712243636449179,0.0033341248830159507,3.2849212352622263,0.00047064271712426607
11,relu,adam,7,1e-05,0.3437392198544777,0.03283668576035337,35,16.877759377161663,0.004000266393025716,1.9695902514059775,8.778064264605254e-07
33,relu,adam,7,0.0001,0.3488703531806987,0.024852230302581962,31,18.17077875137329,0.004000027974446614,2.8471119027739444,7.370009816086852e-07
55,relu,adam,7,0.001,0.36015733184094856,0.018757764869527665,23,15.875613689422607,0.004000425338745117,1.5604742910039409,8.920806376395086e-07
77,relu,adam,7,0.01,0.35731943884588,0.014226082034978079,25,15.782822052637735,0.003999789555867513,1.563006084911469,7.867411722033553e-07
99,relu,adam,7,0.1,0.35677140096420884,0.031823540295104195,26,15.908404111862183,0.003999153772989909,5.043942430504554,0.0008171187880203359
121,relu,adam,7,1,0.37033686705620683,0.026363340261261095,16,14.951654752095541,0.003667116165161133,0.5823544780353251,0.00047052766845863327
13,relu,adam,8,1e-05,0.34862308081480925,0.027479026218389747,32,13.38076647122701,0.004334052403767903,1.5480950714322677,0.00047148290609263344
35,relu,adam,8,0.0001,0.3448451367758181,0.023444382133470866,34,14.133097887039185,0.003667593002319336,2.0689107692271933,0.0004718766078166204
57,relu,adam,8,0.001,0.3502504731323923,0.02995008667174444,29,14.190035184224447,0.004001220067342122,1.9360966649324867,9.199648620915593e-07
79,relu,adam,8,0.01,0.3289909596704834,0.026225054511121105,44,13.863543192545572,0.0036666393280029297,1.8835793646812158,0.0004713713586767779
101,relu,adam,8,0.1,0.33492222341377037,0.029704457739735124,39,14.152632315953573,0.004334211349487305,1.9298561169948636,0.00047120258063725257
123,relu,adam,8,1,0.343691222022991,0.017823961868580197,36,13.576064904530844,0.00400090217590332,1.6801544030150832,5.150429962800233e-07
17,relu,adam,13,1e-05,0.36869124930711933,0.018836723816275044,18,17.38588261604309,0.004332145055135091,2.1641136436181827,0.0004714831070310132
39,relu,adam,13,0.0001,0.36745224269286353,0.01857913874000996,20,17.367910544077557,0.003997087478637695,2.133383790960399,1.6970758838703332e-06
