,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,4,1e-05,0.35112673810962325,0.04238229461260952,11,33.382346868515015,0.004332621892293294,7.041269764158154,0.000469797234388504
25,relu,adam,4,0.0001,0.3499366712194556,0.042846157554622934,12,34.93665409088135,0.004000504811604817,6.148080753347163,1.2961631163199815e-06
49,relu,adam,4,0.001,0.3469306027579768,0.037741190421976996,15,31.4411514600118,0.004002094268798828,7.090891788884446,2.5306834106589407e-06
73,relu,adam,4,0.01,0.33598280338019193,0.06050776076128239,18,35.42974273363749,0.0043341318766276045,4.698721216132239,0.0004731186811410452
97,relu,adam,4,0.1,0.34294786219059076,0.05327446985763522,17,36.840620597203575,0.004333813985188802,6.021646108752051,0.00046996667839658836
121,relu,adam,4,1,0.3473639884115751,0.04924076334468594,14,35.442274729410805,0.004334211349487305,5.7341014924071505,0.00047019315352129923
3,relu,adam,5,1e-05,0.3758832238446026,0.04506555864574511,4,39.524370431900024,0.003999233245849609,9.22379933947136,1.083865300574768e-06
27,relu,adam,5,0.0001,0.37584567459019985,0.04500030105398149,5,40.16066495577494,0.0050013065338134766,9.495300280482136,1.215700987241932e-06
51,relu,adam,5,0.001,0.37744713111484995,0.05065874574851712,3,38.89941096305847,0.003999869028727214,9.121773756725139,9.602742174144247e-07
75,relu,adam,5,0.01,0.37436871347396367,0.049003264185358913,6,42.43571798006693,0.004002809524536133,8.742842406768377,2.4853540692507252e-06
99,relu,adam,5,0.1,0.3880636366251224,0.048379307853416244,2,33.67965396245321,0.0043328603108723955,5.897197716515166,0.00047013892282563724
123,relu,adam,5,1,0.39050119396644306,0.05607749257935787,1,36.393446922302246,0.0043332576751708984,4.703501260353704,0.00046968512526997626
13,relu,adam,6,1e-05,0.34766483298111445,0.05854106525525057,13,40.65018685658773,0.0040026505788167315,2.2500509297301625,2.570305129495657e-06
37,relu,adam,6,0.0001,0.35763972216627443,0.0604728107160675,8,34.7434717019399,0.004333893458048503,4.294035230767561,0.00047210098942394396
61,relu,adam,6,0.001,0.35924728828727187,0.057128509346231246,7,35.40919558207194,0.004335165023803711,4.013653496148077,0.00047221410325724253
85,relu,adam,6,0.01,0.3450324492420031,0.04728379353598981,16,42.62826522191366,0.004665533701578776,3.7460800523973528,0.0004713204394799056
109,relu,adam,6,0.1,0.3564336675556448,0.05962860136809009,9,38.15664347012838,0.004336039225260417,0.6870439753756592,0.00047159529765035196
133,relu,adam,6,1,0.35172967360996615,0.059344142497220025,10,42.88705690701803,0.004001617431640625,5.708169487729731,8.485379419351666e-07
7,relu,adam,7,1e-05,0.3272700277880661,0.03473227512810734,21,52.98291023572286,0.004334211349487305,0.32775935824926844,0.00047137039394311753
31,relu,adam,7,0.0001,0.3342045191041921,0.026388443504717224,20,50.44126558303833,0.004667123158772786,4.211645548794373,0.0004702465989589376
55,relu,adam,7,0.001,0.3185667023851141,0.03029217011082561,25,52.635401248931885,0.004668394724527995,0.7632108516863684,0.0004706398989559127
79,relu,adam,7,0.01,0.3187926293032307,0.030774086595786693,23,52.52391719818115,0.004665931065877278,0.6985457037589601,0.0004695727338284383
103,relu,adam,7,0.1,0.2948170194108621,0.02361199078162698,32,52.50368849436442,0.00466767946879069,1.7590734417756628,0.0004713141679983425
127,relu,adam,7,1,0.3348863829618412,0.0488415798782429,19,44.144884506861366,0.0043362776438395185,6.807995593392761,0.00047294579919983766
9,relu,adam,8,1e-05,0.3106395300618595,0.07433197254228353,28,52.55782945950826,0.004001220067342122,0.1466013213420953,8.778064264605254e-07
33,relu,adam,8,0.0001,0.31026804413332637,0.0739459143277707,29,52.500333627065025,0.004669507344563802,0.3386176799505155,0.0004719337571027147
57,relu,adam,8,0.001,0.32475092014324874,0.0649498869858638,22,49.85706925392151,0.004668712615966797,2.0809821425474,0.00047238251988894215
81,relu,adam,8,0.01,0.3004589990383884,0.03473257610382838,30,50.78056255976359,0.004332780838012695,2.8363725504176873,0.00047356728132640937
105,relu,adam,8,0.1,0.3148120017967971,0.0592513081498332,27,47.69568864504496,0.003999869028727214,3.5542131755190236,4.49566384116203e-07
129,relu,adam,8,1,0.3187199194712623,0.039830977799685634,24,49.7297195593516,0.00500035285949707,1.7112595528161827,0.0008165347532506985
11,relu,adam,9,1e-05,0.2876029352627086,0.08759965165106894,34,53.600276390711464,0.0043341318766276045,1.9118440258995861,0.0004697409277079588
35,relu,adam,9,0.0001,0.29004537509223166,0.09099845793091112,33,53.83167870839437,0.004333813985188802,2.568218388570695,0.00047165254797768436
59,relu,adam,9,0.001,0.2867951256006291,0.085872648582912,35,55.04095347722372,0.004667202631632487,0.946091475327089,0.0004735061542142241
83,relu,adam,9,0.01,0.2855616039769268,0.08220219092261104,36,53.459604819615684,0.00466609001159668,2.0390544678085654,0.0004725505557221485
107,relu,adam,9,0.1,0.29577534574747555,0.0927466684521484,31,52.452550967534386,0.0050008296966552734,2.300283790810386,1.8570139321562326e-06
131,relu,adam,9,1,0.31691484473815296,0.08048434297604648,26,51.44336676597595,0.004667997360229492,3.595983806105619,0.0004708654064322546
15,relu,adam,12,1e-05,0.22503946098880637,0.029191424964473116,50,53.437096198399864,0.005667050679524739,1.687112539095333,0.000472100909153797
39,relu,adam,12,0.0001,0.2196175708153849,0.03773037969557182,53,57.41601308186849,0.004999637603759766,0.249553107120351,2.2450203723630166e-06
63,relu,adam,12,0.001,0.22245006695735406,0.028798123534789097,51,55.758768240610756,0.005001068115234375,1.9681258765003873,0.0008161455566469381
87,relu,adam,12,0.01,0.21038370090870093,0.03278736111973189,54,57.34885215759277,0.00500035285949707,0.3137493028522209,0.0014154597737761913
