,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
9,relu,adam,1,1e-05,-0.6271461224729579,0.16246846480449972,72,16.25857639312744,0.005003452301025391,0.9004775666745276,2.4853540692507252e-06
27,relu,adam,1,0.0001,-0.6043790390855048,0.16925836948043285,71,52.60378122329712,0.16521350542704263,15.391616007070525,0.015143097984764662
45,relu,adam,1,0.001,-0.6029396779674049,0.1703475348853122,70,29.95948298772176,0.14400839805603027,7.708417696228111,0.009202241995387522
63,relu,adam,1,0.01,-0.7416734518484377,0.20692844817395792,75,19.918215195337932,0.007334232330322266,0.6901409423587229,0.0009417292636083266
81,relu,adam,1,0.1,-0.5816324489644712,0.18238517051103087,68,18.873149792353313,0.007666667302449544,0.4013631365772718,0.0023573016244785154
99,relu,adam,1,1,-0.7976270513588185,0.12933181152631693,76,19.073827664057415,0.006000836690266927,0.43099274536264137,2.0261683120698866e-06
3,relu,adam,2,1e-05,0.26580059801164985,0.03060040205719306,54,19.551602840423584,0.009002447128295898,1.113595218107434,0.005656444298546439
21,relu,adam,2,0.0001,0.26580271730619637,0.030599051342284623,53,74.69958647092183,0.1330111821492513,2.0735911111299528,0.0058875218298208845
39,relu,adam,2,0.001,0.265822120758666,0.03058151461943693,51,54.97502557436625,0.14001131057739258,18.289698412292214,0.004966723216186543
57,relu,adam,2,0.01,0.26581861476440943,0.03059294077432507,52,27.00043185551961,0.025335947672526043,1.1238371387742558,0.011901006856105375
75,relu,adam,2,0.1,0.2658975408950763,0.03053139724874442,49,27.331322352091473,0.007333993911743164,1.6317546968414103,0.00047037047123436827
93,relu,adam,2,1,0.2658344470857325,0.030582572640937132,50,27.128477891286213,0.015334367752075195,1.6729975227639595,0.009737245766415117
5,relu,adam,3,1e-05,0.43822496983925646,0.029327030799265043,17,20.12831449508667,0.021001338958740234,0.24233322380624223,0.012829575015597346
23,relu,adam,3,0.0001,0.4382171247769508,0.02930993710023499,18,42.92842491467794,0.1460116704305013,4.8325878858828215,0.006685420505521827
41,relu,adam,3,0.001,0.44027859672969133,0.03199838202624343,16,64.06676268577576,0.13685075441996256,7.52246055309533,0.0020991601162461625
59,relu,adam,3,0.01,0.44029106137175944,0.03198441301549007,15,25.97704490025838,0.019664764404296875,1.9281571613449113,0.008339365064271426
77,relu,adam,3,0.1,0.44030679615826146,0.03200894023143421,13,26.597493410110474,0.01133275032043457,0.07228558901048257,0.004497063756961798
95,relu,adam,3,1,0.4402918623077037,0.031988803929687115,14,26.270763953526814,0.007333517074584961,0.23544224063955763,0.0004706966482471381
7,relu,adam,4,1e-05,0.44607972019596814,0.01346372896699936,11,20.559603611628216,0.00533302625020345,0.38816134999524815,0.0004728320856628582
25,relu,adam,4,0.0001,0.44607963538259354,0.013463796561174255,12,48.82758935292562,0.1763453483581543,8.477200291314428,0.05222232317655058
43,relu,adam,4,0.001,0.44644645561347723,0.013220615554535334,7,59.92916965484619,0.13601144154866537,22.00957024077779,0.002158987471921458
61,relu,adam,4,0.01,0.44627573514848606,0.013399046386049215,10,26.03382460276286,0.026845773061116535,0.357955952809054,0.006281120370717841
79,relu,adam,4,0.1,0.4464319277873839,0.013214297475838872,8,24.047652800877888,0.011334816614786783,0.20313932679728178,0.005438437396408336
97,relu,adam,4,1,0.4463713627245851,0.013363451892511369,9,23.958090861638386,0.007333993911743164,0.10516242767609468,0.00047103575341819867
11,relu,adam,6,1e-05,0.4503604899998599,0.018317745437893048,5,20.374279657999676,0.006999095280965169,0.12201279194104876,3.6017955759762636e-06
29,relu,adam,6,0.0001,0.45036049037549447,0.018317745198664193,4,63.44935790697733,0.15567954381306967,17.00654791179441,0.02711002766471402
47,relu,adam,6,0.001,0.45036052512364444,0.018317718878748113,3,43.950060764948525,0.14467787742614746,9.678801592991256,0.012364571204097811
