,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,5,1e-05,0.3764487224727555,0.044551341278367455,4,38.368608236312866,0.006335258483886719,0.38004871699693865,0.0004728920578022439
25,relu,adam,5,0.0001,0.37644953766953027,0.044552561500128166,3,41.429519176483154,0.0066681702931722,0.11816932330882231,0.00047142655959197545
49,relu,adam,5,0.001,0.37643843641575175,0.04455856982805948,5,39.76220933596293,0.006333669026692708,0.2747097464001254,0.00046996627522301706
73,relu,adam,5,0.01,0.3764157425112847,0.044545238553011256,7,40.843613068262734,0.007334470748901367,0.16697680589515926,0.00047035886966530183
97,relu,adam,5,0.1,0.37642133429220154,0.04450844222649708,6,41.37659088770548,0.017334620157877605,0.060204221285923856,0.00817986820076748
121,relu,adam,5,1,0.37645407046242757,0.044539657534270576,2,41.11578400929769,0.006666342417399089,0.8793668326642162,0.000475196492743826
3,relu,adam,6,1e-05,0.36470098199295764,0.037203497728016906,43,39.0191019376119,0.012666145960489908,0.3354809032555939,0.008056976995542899
27,relu,adam,6,0.0001,0.36469574384046766,0.03719589802581981,44,41.55584907531738,0.00766754150390625,0.47964414427079893,0.00046834747279337355
51,relu,adam,6,0.001,0.3647244489037891,0.037209663606061955,40,39.43866570790609,0.006665865580240886,0.41739001191868685,0.0004716514231259032
75,relu,adam,6,0.01,0.36410874896591183,0.03699047551478166,49,39.522522926330566,0.006997823715209961,0.10908561423809174,2.676241912918526e-06
99,relu,adam,6,0.1,0.36467592786890696,0.037213479269709505,45,41.386081536610924,0.0076673030853271484,0.19705453278924592,0.00047238223911080617
123,relu,adam,6,1,0.36703436193619576,0.040489992080616655,34,41.30604290962219,0.007000446319580078,0.38607546458178466,2.4853540692507252e-06
5,relu,adam,7,1e-05,0.3670545567131584,0.042307844682062945,33,42.71400507291158,0.007664839426676433,0.17204473536455567,0.0009443257472920151
29,relu,adam,7,0.0001,0.36705709210114396,0.04231138462120102,32,42.54756577809652,0.006665945053100586,1.6451269709487382,0.00047659736802942366
53,relu,adam,7,0.001,0.36705751247065804,0.04231200177848306,31,42.56246781349182,0.007334232330322266,0.13840489557978114,0.000470021815843959
77,relu,adam,7,0.01,0.366966258005125,0.04217721548666745,35,42.62631495793661,0.007001320521036784,0.34163022021480793,0.0008178001084444894
101,relu,adam,7,0.1,0.3670594189089013,0.042316887921633566,30,41.241318146387734,0.014667828877766928,0.5626567504559279,0.01155640059698755
125,relu,adam,7,1,0.367078146262698,0.04230935261114305,29,41.97353212038676,0.007001241048177083,0.30847724298188023,0.0008156639645422951
7,relu,adam,8,1e-05,0.370373564919464,0.04140604241222812,21,42.67875552177429,0.006669362386067708,1.0353588874725086,0.00047243856521167216
31,relu,adam,8,0.0001,0.3703666405596093,0.04140975433989491,22,43.283414125442505,0.007001479466756185,0.18187165030837807,2.8698396818268756e-06
55,relu,adam,8,0.001,0.3703557156427668,0.04139376916143779,24,43.34403888384501,0.009333292643229166,0.8500886280250421,0.003297625693677561
79,relu,adam,8,0.01,0.3703617067186018,0.04139999202706713,23,42.50083057085673,0.007665395736694336,0.27662304022799084,0.00046951711318025
103,relu,adam,8,0.1,0.37041632260871177,0.04147513283239774,20,42.76724084218343,0.007002433141072591,0.27724240371425635,0.0008181894443391215
127,relu,adam,8,1,0.37045906804002726,0.04149949654686697,19,40.713696797688804,0.013001680374145508,0.19579840452139616,0.008485677947612262
9,relu,adam,9,1e-05,0.3644015905105662,0.04762050974776385,48,46.23723300298055,0.007002433141072591,0.4636314099613811,1.9499213133470687e-06
33,relu,adam,9,0.0001,0.36470281247572944,0.047490695419619755,42,43.33592279752096,0.0076715946197509766,0.18131451101705665,0.00047309984450944544
57,relu,adam,9,0.001,0.364592731129111,0.04738438531462776,46,45.52440198262533,0.008333206176757812,0.3441782236771937,0.0012484690036945044
81,relu,adam,9,0.01,0.36445375668811714,0.0473124290143452,47,44.2373480796814,0.01966714859008789,1.3401475238719462,0.015840848383036194
105,relu,adam,9,0.1,0.36471563324027967,0.04719617968561889,41,44.9141317208608,0.007670243581136067,0.16922366915670758,0.0004727760602715732
129,relu,adam,9,1,0.3648578873716856,0.04733441656725075,39,45.66069197654724,0.007999022801717123,0.9710041907435447,0.0008153667300553763
11,relu,adam,11,1e-05,0.3742794396660611,0.03677860370981638,11,51.13562687238058,0.010333776473999023,1.072821319361719,0.004026600841644198
35,relu,adam,11,0.0001,0.37431913291032576,0.03682321022221876,9,49.97519739468893,0.007999261220296225,0.8697536884351796,0.0008175123422033924
59,relu,adam,11,0.001,0.37431639040089615,0.03683310584618506,10,49.82043663660685,0.017002344131469727,0.6478307765637576,0.008640656251182056
83,relu,adam,11,0.01,0.3742760944633334,0.036760403833910195,12,50.644936323165894,0.008998950322469076,0.9049734265463409,0.0016335561657451702
107,relu,adam,11,0.1,0.37432814053607816,0.0368536696848794,8,50.7237351735433,0.007671833038330078,0.7852278920334647,0.00047423858687163135
131,relu,adam,11,1,0.3769678362266086,0.04049616423305035,1,51.36159451802572,0.01933709780375163,0.22508747814719068,0.014703962404581496
15,relu,adam,14,1e-05,0.36209247050903254,0.031741651219393485,50,56.94997104008993,0.010333538055419922,0.43157180156464325,0.001886661529252419
39,relu,adam,14,0.0001,0.3620744533189095,0.03172033974713007,51,57.13643821080526,0.011334578196207682,0.4426074525549952,0.0040295877716955975
63,relu,adam,14,0.001,0.3612487438017297,0.030588224906349267,52,56.91881664594015,0.008001089096069336,0.5266683990292587,0.0008156621448634248
87,relu,adam,14,0.01,0.3599237096437446,0.028734843362073145,54,56.72827617327372,0.013999462127685547,0.33995718042497797,0.007875193402416669
111,relu,adam,14,0.1,0.3602051930129111,0.029179696034585343,53,56.82313370704651,0.012337446212768555,0.6772836869252579,0.00478335589587148
135,relu,adam,14,1,0.36608938938616226,0.037022668166946465,36,56.59117809931437,0.007510264714558919,0.5590622577565371,0.00041234764176225844
17,relu,adam,19,1e-05,0.37151635685942663,0.04759767753402255,15,59.35983697573344,0.014336109161376953,4.707916735662726,0.008261077154197579
41,relu,adam,19,0.0001,0.3715088379113922,0.047607460078237504,17,59.89171838760376,0.017000913619995117,4.911506523011037,0.010614644682019638
65,relu,adam,19,0.001,0.3715137309599701,0.047604024666412406,16,59.76898638407389,0.010667880376180014,4.528977995843737,0.001699425347773509
89,relu,adam,19,0.01,0.37149185444093713,0.04759077962915532,18,59.583839654922485,0.008669853210449219,5.866950257340612,0.0009408873789333085
113,relu,adam,19,0.1,0.3723197016786896,0.046763997269218795,14,59.28904096285502,0.011666297912597656,4.189313153102873,0.0038599392792593138
137,relu,adam,19,1,0.3734602435654771,0.04573826085829283,13,58.77082014083862,0.014333168665568033,4.242972977496285,0.004643869494167683
19,relu,adam,20,1e-05,0.3550037297972695,0.03572838899202568,64,63.588946421941124,0.009333133697509766,0.3621801164669669,0.00046816744621086016
