,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,2,1e-05,0.4527820130322347,0.03912455045380853,11,21.985251903533936,0.010000069936116537,1.0214587779591373,0.001633264201521355
23,relu,adam,2,0.0001,0.45278201589323647,0.03912454876654407,10,24.283963203430176,0.008999903996785482,1.217047965560309,0.0014143358578265386
45,relu,adam,2,0.001,0.452782047024084,0.039124530661210195,9,24.790008862813313,0.00999760627746582,0.980201946523689,0.002448631012856989
67,relu,adam,2,0.01,0.4527822567724858,0.03912437102690678,8,24.4440864721934,0.012999534606933594,0.756945103883666,0.008487532420654793
89,relu,adam,2,0.1,0.45278472046822893,0.03912244137430419,7,24.941710154215496,0.007998784383138021,1.0298757582337696,0.0008141033725021328
111,relu,adam,2,1,0.4528123989361601,0.039097238765998514,6,24.771960655848186,0.009000301361083984,0.9986713707741883,0.002160421636897246
3,relu,adam,3,1e-05,0.3987387207282473,0.03057477340141243,65,20.50995373725891,0.011333942413330078,4.179188679193365,0.00047204534555926787
25,relu,adam,3,0.0001,0.3986715603585156,0.030656454031904954,66,22.133379062016804,0.014333883921305338,4.174294121312935,0.0020538177790251568
47,relu,adam,3,0.001,0.3988438641816984,0.030450966013274804,64,21.97951904932658,0.010001341501871744,4.670085976112794,0.0029458398650068916
69,relu,adam,3,0.01,0.3988613038088677,0.030430737158416977,62,22.637876749038696,0.01166685422261556,4.590733208950727,0.003399037740612648
91,relu,adam,3,0.1,0.39884408153319506,0.030444057325269353,63,22.352961778640747,0.013001203536987305,4.965615175135039,0.0014163027809748258
113,relu,adam,3,1,0.39893185473353937,0.030418613293274287,61,22.435086409250896,0.0086669921875,4.062558313711929,0.0023573577740526827
5,relu,adam,4,1e-05,0.41049032474375413,0.012099094913126841,56,14.496063152949015,0.009002288182576498,3.771976101478721,0.001630928511452503
27,relu,adam,4,0.0001,0.41041136657522764,0.01220844026036512,57,14.561767339706421,0.012334744135538736,3.54198589091476,0.004988536182109265
49,relu,adam,4,0.001,0.4103274793623375,0.012330778444685931,60,14.499296188354492,0.007664918899536133,3.092101430579315,0.0009432465148715002
71,relu,adam,4,0.01,0.410347239977839,0.012342892225422095,59,14.879940350850424,0.00899966557820638,3.3094453653891427,0.001632388158034464
93,relu,adam,4,0.1,0.41037535956363297,0.01231714606227281,58,14.963364601135254,0.010335445404052734,3.2795762202254304,0.0023580319789215467
115,relu,adam,4,1,0.4105090023910199,0.012169066541330655,55,14.319962739944458,0.011333068211873373,3.8182235791839876,0.003091308298868666
13,relu,adam,5,1e-05,0.44943048029393146,0.04237494872121629,31,15.401122252146402,0.008001565933227539,4.101959744036538,0.0016318041386970284
35,relu,adam,5,0.0001,0.44942329121017127,0.04237421690508481,32,15.568450053532919,0.008667866388956705,4.200047233298842,0.0016999557934217625
