,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,5,1e-05,0.3675938027596621,0.003442790757110595,10,58.00543785095215,0.010220050811767578,0.4432776448550359,0.0016622044057345864
23,relu,adam,5,0.0001,0.36758874597825253,0.0034514214453438023,12,58.14625144004822,0.02200007438659668,0.6502550487732704,0.009093455067743682
45,relu,adam,5,0.001,0.36758962417164676,0.003444622673003497,11,57.76477320988973,0.008335431416829428,0.22087726992531398,0.0004703027242327683
67,relu,adam,5,0.01,0.3682168855870964,0.00260588678940739,7,58.100133339564,0.010001500447591146,0.4347562268144986,0.0021616355371985494
89,relu,adam,5,0.1,0.3680562952977417,0.002786241499162784,8,55.70568426450094,0.010002533594767252,0.2620287929136811,0.001413886291446682
111,relu,adam,5,1,0.36772440999851336,0.0022427063681394366,9,89.56620089213054,0.1376791000366211,16.868668935986623,0.00047120258063725257
3,relu,adam,6,1e-05,0.3781510310357719,0.010796490260937987,2,58.33858251571655,0.014334440231323242,0.08165642762569862,0.006848558676824678
25,relu,adam,6,0.0001,0.37814796175904225,0.01079767446995138,4,57.46508002281189,0.014335234959920248,0.1933366000755278,0.005557327712284927
47,relu,adam,6,0.001,0.3781428647752824,0.010789608002043493,5,56.65099628766378,0.013666947682698568,0.45806797942950545,0.0044982183734502005
69,relu,adam,6,0.01,0.3781372397493005,0.010806788001860811,6,57.141293128331505,0.01033345858256022,0.5305579077429483,0.001700361751267015
91,relu,adam,6,0.1,0.3781484327571049,0.010803825535480122,3,54.890085776646934,0.009999434153238932,0.44753882227399305,0.0021592078234505185
113,relu,adam,6,1,0.3782376629971551,0.010787793000037283,1,113.7919606367747,0.14001178741455078,46.22128511894212,0.0016313177737075498
5,relu,adam,7,1e-05,0.3611354319608652,0.021117221589506876,22,57.107758363087974,0.027667522430419922,9.964423750834461,0.015108834564539944
27,relu,adam,7,0.0001,0.3611269648040733,0.021125675504029506,23,56.56921434402466,0.017334779103597004,9.937746938465606,0.006550824283808018
49,relu,adam,7,0.001,0.3612904236066699,0.021051455032205516,20,57.26286029815674,0.01866801579793294,10.614540726231997,0.007932656670750531
71,relu,adam,7,0.01,0.36098433909139227,0.021132764013061023,24,57.06044419606527,0.030669450759887695,10.414493315817717,0.018786903087152997
93,relu,adam,7,0.1,0.3615823954241842,0.021092097386120508,19,53.92040888468424,0.011669635772705078,10.377918130061676,0.003092421896711585
115,relu,adam,7,1,0.3612043474921185,0.02107204986751799,21,115.10661141077678,0.13601096471150717,25.234208246397873,0.002448342025943466
9,relu,adam,8,1e-05,0.3629979846626581,0.00854872182459393,17,61.61496297518412,0.017665386199951172,0.04286996267019509,0.008179709492964603
31,relu,adam,8,0.0001,0.3630134462329751,0.0085496619439055,14,62.05428989728292,0.009667476018269857,0.42708061607624487,0.0012467678471016895
53,relu,adam,8,0.001,0.36300767645270854,0.008555459357261475,15,62.237162272135414,0.009336551030476889,0.21656795130197018,0.0004703028853868681
75,relu,adam,8,0.01,0.36299195021753733,0.008523258954957513,18,64.86963884035747,0.018334388732910156,1.4853050950587054,0.01181475457181777
97,relu,adam,8,0.1,0.36300279346938735,0.008554479355931618,16,60.38013060887655,0.009508530298868815,0.6046262481286707,0.001073925860156112
119,relu,adam,8,1,0.36307644970344466,0.008467549228054611,13,141.22132341066995,0.14101211229960123,49.678084493273786,0.004546727719666205
11,relu,adam,10,1e-05,0.35294591355957383,0.005338129317918235,28,68.35513552029927,0.010335206985473633,0.38311340991302634,0.0033991468347970718
33,relu,adam,10,0.0001,0.3529878958685683,0.005353973173816346,27,68.80638885498047,0.020336230595906574,0.6432268088568888,0.013913944941160388
55,relu,adam,10,0.001,0.3527329918413838,0.00579802349380574,29,70.85969646771748,0.021337032318115234,1.6642980450593103,0.010338420282124065
77,relu,adam,10,0.01,0.3533498496767296,0.00502993749597214,26,69.15706888834636,0.038336753845214844,0.2831258580983617,0.0018846389027867665
99,relu,adam,10,0.1,0.3542087927168678,0.0041927759197232396,25,73.32662963867188,0.14534449577331543,6.33365651798189,0.014974553227009442
