,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,1,1e-05,-0.8829280921954021,0.028347352943482618,72,53.40089829762777,0.20085867245992026,10.343909395633105,0.0015412243253437154
17,relu,adam,1,0.0001,-0.8829280913118097,0.028347353352585276,71,43.7920785744985,0.13634300231933594,14.633273223038321,0.001886661529252419
33,relu,adam,1,0.001,-0.8829280836786916,0.02834735660796303,70,57.54255723953247,0.13634475072224936,2.7140390079846015,0.0009411114370514109
49,relu,adam,1,0.01,-0.8829278885624965,0.028347335182377892,69,32.74958165486654,0.13601120313008627,7.952164249450703,0.0016321936293882651
65,relu,adam,1,0.1,-0.7041369569123889,0.2676906172316203,62,25.650971571604412,0.03800209363301595,1.464749387736042,2.5331779242371283e-06
81,relu,adam,1,1,-0.8829275103841102,0.028347379771012347,68,25.532140970230103,0.06767090161641438,3.737945155976657,0.01276502726233804
3,relu,adam,2,1e-05,0.30721178172855806,0.062121081868811885,48,66.04092415173848,0.1786783536275228,9.532349093904973,0.05893722298099571
19,relu,adam,2,0.0001,0.307211781803506,0.062121081847896914,47,63.45102723439535,0.153851588567098,11.58801475390351,0.023143855407251265
35,relu,adam,2,0.001,0.30721178255298603,0.062121081638747674,46,25.832500219345093,0.13601032892862955,3.039526644622734,0.0008168268614953569
51,relu,adam,2,0.01,0.3072117900477822,0.062121079547250026,45,46.23694586753845,0.13800819714864096,17.497399799956582,0.002940900072454696
67,relu,adam,2,0.1,0.30721186499501324,0.06212105863227167,44,23.80477738380432,0.042670488357543945,2.7260408170241,0.008731430403823416
83,relu,adam,2,1,0.3072129838192843,0.06212056817541755,43,34.86827747027079,0.04800264040629069,1.2105017002230427,0.015579673502654797
5,relu,adam,3,1e-05,0.43157630670165753,0.04578839644103006,5,54.48014998435974,0.13867680231730142,17.116248708993876,0.0030898425818914163
21,relu,adam,3,0.0001,0.4315759283292165,0.04578860454343063,6,63.263912280400596,0.13634435335795084,13.572217713986923,0.0012474048564998271
37,relu,adam,3,0.001,0.4317679869350605,0.045699240146275924,2,50.439492543538414,0.14218568801879883,11.54683508368655,0.005712028420434208
53,relu,adam,3,0.01,0.4292037804518503,0.04722687448157038,7,58.788065115610756,0.09267258644104004,8.566697376653886,0.010873853501476445
69,relu,adam,3,0.1,0.43159480502505737,0.04578646691996406,4,23.81412164370219,0.05500380198160807,3.901980629081798,0.012678504566981422
85,relu,adam,3,1,0.43160635860801316,0.04579344955773207,3,28.28367217381795,0.0523374080657959,2.3431863536329933,0.014974983125542565
7,relu,adam,5,1e-05,0.3304869182334549,0.11774739433155966,33,63.71493728955587,0.1413428783416748,19.92381647723696,0.003400315661315684
23,relu,adam,5,0.0001,0.33042110287469867,0.1177904446037421,34,55.942869901657104,0.1393426259358724,17.049979161086856,0.004783333262869113
39,relu,adam,5,0.001,0.3311807245830351,0.11916818068440801,31,69.87566955884297,0.13618850708007812,12.498901757081635,0.0020091093004653763
55,relu,adam,5,0.01,0.32952958095320656,0.11820826673919185,36,52.82396777470907,0.06567144393920898,5.248257150829293,0.009672351953015388
71,relu,adam,5,0.1,0.3303227433004268,0.11796417334508723,35,28.42704439163208,0.04733721415201823,4.312015502439323,0.006236387105484229
87,relu,adam,5,1,0.33061691005828125,0.1180675115759028,32,28.80452052752177,0.042335192362467446,5.238349959953512,0.005438495799281844
9,relu,adam,9,1e-05,0.41275939345917667,0.05091676768662142,16,78.69400215148926,0.14134486516316733,10.594123634842985,0.006943303379994828
25,relu,adam,9,0.0001,0.4194059630486941,0.04611867745401993,13,87.03062582015991,0.13801161448160806,3.224454069268946,0.0014153477034785304
41,relu,adam,9,0.001,0.41405881990500376,0.05071840649823512,15,75.64295411109924,0.14567764600118002,21.454066292157933,0.013695036004027434
57,relu,adam,9,0.01,0.4223726565903678,0.04392701242685845,11,44.28080908457438,0.06266943613688152,8.830357810546362,0.013960476999593583
73,relu,adam,9,0.1,0.41983146019610196,0.04581946791317217,12,34.93860618273417,0.05333892504374186,7.687459824561119,0.013096992802450377
89,relu,adam,9,1,0.40845258373528415,0.053779802485766214,17,32.349738121032715,0.08433969815572102,6.473404817801003,0.03781266700685693
11,relu,adam,47,1e-05,0.38503083596114934,0.06517922048052642,20,119.48007289568584,0.14034207661946616,44.35615115749357,0.00047148600053418675
27,relu,adam,47,0.0001,0.3851018735611162,0.0651990886493043,19,139.063929716746,0.1393444538116455,48.00483136632666,0.0009427410290698662
43,relu,adam,47,0.001,0.3846118128349076,0.06430432142273836,21,156.34680438041687,0.14901185035705566,32.46716482334767,0.005354257735132509
59,relu,adam,47,0.01,0.3823887829239571,0.06634019917311859,22,77.93132869402568,0.04600318272908529,12.110648455901314,0.014515696041801978
75,relu,adam,47,0.1,0.37759404975761707,0.06826369384187767,24,74.13930344581604,0.04366946220397949,12.822238304387753,0.0051862543326878915
91,relu,adam,47,1,0.3782740172923329,0.06792711808844701,23,116.14475361506145,0.13800867398579916,42.18102896995938,0.0008156635696336086
15,relu,adam,63,1e-05,0.3545295479693142,0.07033065265330894,26,116.88436841964722,0.18034672737121582,19.319889546086856,0.05290121790410701
31,relu,adam,63,0.0001,0.35443616768306985,0.07048939391726278,27,135.93717670440674,0.1390092372894287,46.50711895085393,1.557343637328579e-06
47,relu,adam,63,0.001,0.3543687835734061,0.07080879860844401,28,89.84885414441426,0.13800915082295737,14.559674030794195,0.0016318041774022578
63,relu,adam,63,0.01,0.35412765097545523,0.06749794910390966,29,80.24268364906311,0.046335697174072266,5.313251294038786,0.008260422858228554
79,relu,adam,63,0.1,0.3528641131612054,0.06885874949150171,30,67.91014957427979,0.06467175483703613,11.022676264622527,0.010405292792614375
95,relu,adam,63,1,0.3624058726471146,0.07252931185697119,25,95.44819037119548,0.07767105102539062,19.048778330625897,0.02852486251916245
13,relu,adam,185,1e-05,0.3241952221856612,0.08151401300901512,38,283.5371307531993,0.14467628796895346,27.38388978887091,0.00047058425680493676
29,relu,adam,185,0.0001,0.3241297025797205,0.08147937912949409,39,294.1115279992421,0.14385247230529785,80.68775764836703,0.0036541256381491852
45,relu,adam,185,0.001,0.3245999637192569,0.08146062582644958,37,297.48888325691223,0.14267770449320474,39.9365111556062,0.0012475535859664214
61,relu,adam,185,0.01,0.32323399737782726,0.08201315777446153,40,152.2747897307078,0.06433908144632976,18.190830669202104,0.013768122322573607
77,relu,adam,185,0.1,0.3225248783454948,0.08303798008804072,41,192.4611792564392,0.069670836130778,10.336110062992361,0.00449677509935565
93,relu,adam,185,1,0.3215593582608587,0.07873369870705162,42,218.86573672294617,0.08085060119628906,35.41927294271997,0.03921799447182888
0,relu,lbfgs,1,1e-05,0.41790960442024944,0.05448761154320211,14,0.7173885504404703,0.19334856669108072,0.4866880273970749,0.056927927498038336
16,relu,lbfgs,1,0.0001,0.4263235531049538,0.05957831404947772,9,2.6990899244944253,0.2746880849202474,1.8373520063019484,0.11151593150799673
32,relu,lbfgs,1,0.001,0.42470227223417356,0.05647689527285889,10,1.3369635740915935,0.15734489758809408,1.097194502036818,0.03168009758321625
48,relu,lbfgs,1,0.01,0.4284848452264858,0.0465206980364787,8,1.379313627878825,0.1370097796122233,0.3628675206510389,0.0008156587610242643
64,relu,lbfgs,1,0.1,0.4324528509864532,0.056789948150804334,1,0.8080585797627767,0.03867046038309733,0.5318249072235696,0.00047097747598744187
80,relu,lbfgs,1,1,0.4065847220408727,0.0634276489878091,18,0.6703842480977377,0.07067219416300456,0.3044247780278848,0.008179152262062941
2,relu,lbfgs,2,1e-05,-1.0053641390680639,0.6235608590315184,78,18.135095357894897,0.22368391354878744,4.151835376821543,0.04151171571436867
18,relu,lbfgs,2,0.0001,-0.6392748976191478,0.48548045863438033,59,13.92812736829122,0.13288164138793945,3.7196321987651664,0.003452758672011423
34,relu,lbfgs,2,0.001,-1.060434269352172,0.8318450708258885,80,14.321906407674154,0.1381990114847819,7.931456532672288,0.015710867816611594
50,relu,lbfgs,2,0.01,-0.6059453285340394,0.7037553088566123,58,15.668188095092773,0.14233795801798502,5.047394306646618,0.00900027958514321
66,relu,lbfgs,2,0.1,-0.7025943190954007,0.430379446659843,61,10.858746925989786,0.04967125256856283,2.883670705211242,0.011442362986446136
82,relu,lbfgs,2,1,-0.4690921694108794,0.0909788695642061,51,11.41847538948059,0.07133793830871582,3.232875346216844,0.0012448352990312563
4,relu,lbfgs,3,1e-05,-0.8165157699257058,0.4127568267784018,67,12.288944959640503,0.1376765569051107,5.428932186449805,0.00249856919919305
20,relu,lbfgs,3,0.0001,-0.5935052869434275,0.4893616737104405,57,21.54346243540446,0.1400118668874105,9.327606827245319,0.005355074552683224
36,relu,lbfgs,3,0.001,-0.7915274378811866,0.362876171932565,66,32.59553654988607,0.13601001103719076,8.349171250104916,7.867411722033553e-07
52,relu,lbfgs,3,0.01,-0.8994625107231337,0.7403999255786602,73,27.09938899676005,0.12367677688598633,1.8449804941916779,0.005437584815391859
68,relu,lbfgs,3,0.1,-0.7790664633928671,0.5924183076955447,64,13.444433212280273,0.029001633326212566,2.499612648220429,0.010232191843016734
84,relu,lbfgs,3,1,-0.5723824545613904,0.27861485462720276,56,13.707855542500814,0.07484396298726399,2.6687660373292474,0.023637771947388347
6,relu,lbfgs,5,1e-05,-5.236913894166148,5.875943115986677,95,33.959151109059654,0.13534299532572427,6.2191730090319295,0.0004724403298896239
22,relu,lbfgs,5,0.0001,-2.209748314235141,0.30666201939561644,87,41.50109672546387,0.12967554728190103,4.045274915179489,0.003680779104362108
38,relu,lbfgs,5,0.001,-2.33788541094725,1.3056034883670082,88,32.650070905685425,0.13667750358581543,6.656541162451458,0.0017017011132662088
