,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
3,relu,adam,4,1e-05,0.41440299876434744,0.049048624940092315,1,97.4467142422994,0.13567399978637695,26.138036724524632,0.00047154063886472474
25,relu,adam,4,0.0001,0.4143971400456759,0.04904536693666575,5,63.49160957336426,0.14667749404907227,13.167733255699181,0.013020516122940773
47,relu,adam,4,0.001,0.414401769247797,0.04904408223218734,2,85.38973387082417,0.13400840759277344,31.73860271318894,0.0021591709461860633
69,relu,adam,4,0.01,0.41439539865148783,0.049040692592443244,6,67.0257743994395,0.13601191838582358,4.7062259974497564,0.0014136616154835865
91,relu,adam,4,0.1,0.41439766621938073,0.04903824101002676,4,57.324360052744545,0.05100655555725098,0.2608011909993683,0.014900520747090995
113,relu,adam,4,1,0.4144014987444205,0.04903682289523677,3,49.21763428052267,0.047669569651285805,11.846987633908917,0.006599554241223771
11,relu,adam,5,1e-05,0.3872283545337878,0.03922038115668629,27,84.47037347157796,0.13634403546651205,32.95295669319757,0.0009436403422470147
33,relu,adam,5,0.0001,0.386973737380226,0.03930219858589166,29,64.39066235224406,0.13567535082499185,17.723893444997,0.001247490402411726
55,relu,adam,5,0.001,0.38992496074887134,0.03856143850756381,22,88.54276847839355,0.14052327473958334,32.22619147344739,0.005297955235046165
77,relu,adam,5,0.01,0.38964256298523897,0.038908919358666694,24,47.43974423408508,0.04533839225769043,2.3313796290893247,0.005179679186047439
99,relu,adam,5,0.1,0.3903817816430985,0.03820646649141611,19,49.602938652038574,0.028001944224039715,6.513415040218618,0.008167002156918705
121,relu,adam,5,1,0.39007541315437794,0.039442427168740045,21,53.245572328567505,0.04900336265563965,2.307429873593198,0.014901064820295854
7,relu,adam,6,1e-05,0.38707147163915706,0.044433354408885864,28,69.60580229759216,0.12851619720458984,15.309318742642228,0.013101499564157364
29,relu,adam,6,0.0001,0.3858060336233027,0.04267278863662101,35,95.97793205579121,0.14333883921305338,37.47332570820105,0.009742657655043384
51,relu,adam,6,0.001,0.38578779141929215,0.04268178734675737,36,116.90238865216573,0.1443463166554769,20.796352093496,0.011814153171812922
73,relu,adam,6,0.01,0.3894866670390802,0.04385592535728668,25,123.6438151995341,0.11700781186421712,28.180364189102086,0.008286308723634752
95,relu,adam,6,0.1,0.3899128650419039,0.043404174928967976,23,54.812397956848145,0.04266977310180664,7.138937554483667,0.0066001964882891825
117,relu,adam,6,1,0.39026872572199744,0.04311615221412099,20,56.1420628229777,0.028003613154093426,1.0787529752255451,0.00883190369228485
9,relu,adam,7,1e-05,0.40284771452045587,0.03867025499986865,9,66.5181249777476,0.13567678133646646,18.85648899926912,0.001246028267341822
31,relu,adam,7,0.0001,0.40287354904857614,0.03866950380776136,7,73.2363673845927,0.1350104808807373,10.298096092233472,0.0008164408134252477
53,relu,adam,7,0.001,0.4028671918755508,0.03866410699792268,8,51.43822622299194,0.154343843460083,5.785320175993465,0.006019651760451947
75,relu,adam,7,0.01,0.4026099976667689,0.0383424718726441,11,72.88471086819966,0.045003652572631836,5.706466740982313,0.0066836611770013325
97,relu,adam,7,0.1,0.40256927359400846,0.038314008509480954,12,51.3975780804952,0.03717581431070963,6.5369367340970825,0.002459639462556216
119,relu,adam,7,1,0.40262830286981793,0.03834092975987615,10,49.9759194056193,0.05167237917582194,5.24197599566032,0.015796950600930296
13,relu,adam,9,1e-05,0.39724377808330485,0.039676097057818896,16,102.99661978085835,0.13835930824279785,37.194631190432666,0.0018714057730446656
35,relu,adam,9,0.0001,0.3972414880733837,0.03967099965882103,17,70.71789868672688,0.13567519187927246,8.102553486376241,0.0009424037136560534
57,relu,adam,9,0.001,0.39723535349974903,0.03967204670932068,18,64.86018713315327,0.13800930976867676,12.917548323845864,0.001631124499759764
79,relu,adam,9,0.01,0.39725620069628986,0.039647408170275254,15,54.9777885278066,0.044336954752604164,8.329942327054237,0.006847344114190105
101,relu,adam,9,0.1,0.3974327159362381,0.03943980796120039,14,51.56747349103292,0.04667131106058756,5.116977662605778,0.006599217068076489
123,relu,adam,9,1,0.39773050057651577,0.03959662797863946,13,52.182822942733765,0.05666971206665039,10.343718511093753,0.009465473595575456
15,relu,adam,11,1e-05,0.3829051117455007,0.050589701938773685,40,99.74862098693848,0.13867600758870444,47.869582662465106,0.0038571037748150834
37,relu,adam,11,0.0001,0.38332931198523196,0.05116242035032013,39,92.88472072283427,0.13867727915445963,25.64568637260854,0.0004738449282430199
59,relu,adam,11,0.001,0.3827858632911774,0.05049478387197013,41,129.86798540751138,0.14867758750915527,30.431095937888713,0.018622587922767827
81,relu,adam,11,0.01,0.3784573142443919,0.0530651580346798,42,52.75922028223673,0.04433568318684896,10.325714980516434,0.006943738139910149
103,relu,adam,11,0.1,0.3844356550795893,0.049526370051378873,37,58.8814849058787,0.04066920280456543,11.86996545581686,0.0032993998050305936
125,relu,adam,11,1,0.3834963094744035,0.05068586719008162,38,62.077767769495644,0.038004159927368164,9.96566292778669,0.0008177028999858081
17,relu,adam,15,1e-05,0.38653990669785393,0.03312673629646701,30,111.93831555048625,0.13667837778727213,41.94744132006877,0.0009422950823122526
39,relu,adam,15,0.0001,0.38653376567715636,0.033113158884635355,32,88.79770628611247,0.13834373156229654,20.722126651538723,0.0016999863890763153
61,relu,adam,15,0.001,0.3865339729627173,0.03312656004231632,31,133.29894852638245,0.12318627039591472,42.58099833713992,0.009520964058588221
83,relu,adam,15,0.01,0.38652703442713393,0.03314527609798841,33,64.81199248631795,0.05100377400716146,9.772640525020611,0.014237640479395297
105,relu,adam,15,0.1,0.3863784284613467,0.03280796505606537,34,57.082446257273354,0.05600333213806152,10.708273771679245,0.006979529110940207
127,relu,adam,15,1,0.3880997764019649,0.03479008072707291,26,57.552294174830116,0.0476685365041097,13.527721673778121,0.006946927193512329
19,relu,adam,22,1e-05,0.37330994901039527,0.04068472486066753,50,80.88794803619385,0.1370100975036621,6.332948668659773,0.0021586555872773407
41,relu,adam,22,0.0001,0.3731637398982586,0.04076894528260738,51,156.89840920766196,0.16834624608357748,38.90383802756741,0.043609201184136394
63,relu,adam,22,0.001,0.37315377422297025,0.04077641362167618,52,131.7342140674591,0.1393437385559082,51.07700139719806,0.004715389813227896
85,relu,adam,22,0.01,0.3731428957703695,0.040776770210001846,53,70.77720959981282,0.043002684911092125,11.792873243267996,0.007119322655607717
107,relu,adam,22,0.1,0.3729254940352982,0.040705304503155224,54,69.5121841430664,0.05084307988484701,9.490019098252608,0.00922868961924649
129,relu,adam,22,1,0.37331112928769117,0.04041838786637644,49,71.81855058670044,0.01833454767862956,12.537349740385775,0.014612537201143635
21,relu,adam,26,1e-05,0.37436217473405003,0.038615906244068826,44,85.15240009625752,0.13667217890421549,11.383175474826754,0.0009365592506352625
43,relu,adam,26,0.0001,0.3744317196565337,0.0386287258809229,43,130.96378231048584,0.13367748260498047,60.25320936764753,0.007543780126919254
65,relu,adam,26,0.001,0.3743510756780135,0.038599493516398714,45,123.35533515612285,0.1373449961344401,27.843695495995533,0.0009435274486638811
87,relu,adam,26,0.01,0.3742772702970867,0.03794046790708842,47,74.11054126421611,0.04467050234476725,11.231591053390584,0.007317849294597725
109,relu,adam,26,0.1,0.37431163509947135,0.03872642768576435,46,73.2289346853892,0.05033731460571289,8.48205007148771,0.01053129918630041
131,relu,adam,26,1,0.37388776176326166,0.038138427639153046,48,62.325746377309166,0.008333841959635416,4.994458493749706,0.0012474692746966879
1,relu,adam,35,1e-05,0.34055210232816396,0.02018174314981286,57,175.61394866307577,0.13967482248942056,50.333841866088925,0.0004696282940939862
23,relu,adam,35,0.0001,0.34037018762110166,0.020155174460327645,59,139.55310654640198,0.14667797088623047,30.017544490140764,0.01087436514111955
45,relu,adam,35,0.001,0.3416509775071912,0.021932509199984532,55,165.4528419971466,0.13867918650309244,61.60342593171202,0.00047301093776657885
67,relu,adam,35,0.01,0.34037628035282985,0.019199450524649712,58,102.08769869804382,0.13802727063496908,6.393433447817205,0.0014393429778370899
89,relu,adam,35,0.1,0.33707531231057763,0.01522141865036851,60,82.51801339785258,0.06533853212992351,19.18783137020553,0.006801114530902204
111,relu,adam,35,1,0.3415742365681167,0.023640555297666902,56,89.88322265942891,0.05533679326375326,11.695881129670365,0.004782585545107878
5,relu,adam,101,1e-05,0.31437417711361243,0.036516411048697184,61,155.15272649129233,0.1653459072113037,24.791702100325974,0.002495213968920116
27,relu,adam,101,0.0001,0.30901792861900684,0.03299879043749585,64,212.4538631439209,0.15567954381306967,57.12455426242013,0.004714434445556803
49,relu,adam,101,0.001,0.3098785045068655,0.036576302731665074,63,150.27476874987283,0.15101257960001627,13.722245374735653,0.011227068496745493
71,relu,adam,101,0.01,0.30677004974556293,0.03578243046456464,65,248.29369966189066,0.08233706156412761,70.61788678454792,0.059279557567383845
93,relu,adam,101,0.1,0.3019272295564916,0.037056794888002224,66,140.7029804388682,0.082671324412028,22.529780184897536,0.04772562140403525
