,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
1,relu,adam,2,1e-05,0.3914145962883067,0.03346722301900926,37,28.505534728368122,0.008334875106811523,4.441923845326189,0.0012460456128396502
21,relu,adam,2,0.0001,0.39141459954484503,0.03346722170224903,36,28.539903958638508,0.011000315348307291,4.625182659804886,0.004320218337599988
41,relu,adam,2,0.001,0.39141461808418704,0.03346719774915717,35,28.717169284820557,0.01200087865193685,4.6102717686190005,0.005717940189806111
61,relu,adam,2,0.01,0.39141402515042006,0.03346688275575201,38,28.733731667200725,0.010665973027547201,4.532625161564133,0.0044963450638529755
81,relu,adam,2,0.1,0.39141807204275353,0.033466546754094176,34,28.756519238154095,0.009000857671101889,4.568137933900159,0.0014148416903127963
101,relu,adam,2,1,0.3914504027657351,0.033452478295211314,33,28.912324746449787,0.011667251586914062,4.5628816255539135,0.005189120284428622
9,relu,adam,3,1e-05,0.37245909620949336,0.02243843929837624,54,25.817373514175415,0.007668415705362956,5.4323166124021585,0.0023575824768519165
29,relu,adam,3,0.0001,0.3808424166707108,0.03232174002780062,50,24.210599422454834,0.010002692540486654,4.606203166040738,0.003557852868122662
49,relu,adam,3,0.001,0.38104571245550517,0.03224499736476195,49,24.418640693028767,0.006667296091715495,4.773314249996161,0.0004701380764709305
69,relu,adam,3,0.01,0.372991432338263,0.02316423714670038,53,25.85641360282898,0.00899966557820638,5.39309797227073,0.0035596836786910614
89,relu,adam,3,0.1,0.38084051596286334,0.03244466236693166,51,24.371846199035645,0.010000228881835938,4.756961076246566,0.0024498964182939173
109,relu,adam,3,1,0.38109773340969005,0.03225825334491414,48,24.166062513987224,0.010666847229003906,4.73713811909029,0.002626023296485441
5,relu,adam,4,1e-05,0.3966056037922187,0.029113110551392755,20,30.470165570576984,0.0066680908203125,0.29828258874201996,0.00047205048342584933
25,relu,adam,4,0.0001,0.3966033030873191,0.029111855376567235,21,30.46458641688029,0.01033322016398112,0.4518653896690565,0.004712242704052366
45,relu,adam,4,0.001,0.39660089262084663,0.0291107480165322,23,30.78297559420268,0.010000308354695639,0.5559394335710366,0.004966899014924392
65,relu,adam,4,0.01,0.3966019226653623,0.029096416134384597,22,31.09998957316081,0.008001327514648438,0.803244290582817,0.0028295708484127953
85,relu,adam,4,0.1,0.39661160174246984,0.02911441900178509,19,30.707023938496906,0.009333292643229166,0.6192560837422243,0.0026243379118381168
105,relu,adam,4,1,0.39628581275263447,0.02881424299450543,24,31.546117226282757,0.00833431879679362,0.5865266485735425,0.003300323034512755
7,relu,adam,5,1e-05,0.3944296216368819,0.03216456636716851,30,23.45774221420288,0.011666218439737955,5.788974555780853,0.005250784974408716
27,relu,adam,5,0.0001,0.39443009800757317,0.03216498333629915,29,23.72126881281535,0.016335248947143555,5.84470081715034,0.006650787842938864
47,relu,adam,5,0.001,0.3944312237841032,0.03216584487605343,28,23.642445882161457,0.011668046315511068,5.8005560646646686,0.0046430473066601105
67,relu,adam,5,0.01,0.39444228359594175,0.03215148798413595,27,24.039997498194378,0.01566735903422038,5.783537129189101,0.008380482946779405
87,relu,adam,5,0.1,0.39445077114058996,0.03215159255262374,26,23.729700009028118,0.01433412233988444,5.753166105309699,0.006599803164356952
107,relu,adam,5,1,0.3944585660650157,0.03216400747836819,25,23.58534375826518,0.010000467300415039,5.7035659107185595,0.00294551565011483
11,relu,adam,7,1e-05,0.3978134050974966,0.04909062255256082,16,28.18545699119568,0.01633453369140625,5.439640296957961,0.012498968506836183
31,relu,adam,7,0.0001,0.40090691785641003,0.05086929561878851,7,25.32842508951823,0.013334989547729492,0.5711324906326987,0.008258652618851817
51,relu,adam,7,0.001,0.3981765401020941,0.049388387681311215,15,28.38254467646281,0.01599852244059245,4.554465663890579,0.005356617693484241
71,relu,adam,7,0.01,0.4005957197775123,0.05064028866551983,8,24.723638931910198,0.01533349355061849,0.21583065685405917,0.005907850239331117
