,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
3,relu,adam,4,1e-05,0.33624874759350726,0.042492318532969996,13,62.67482352256775,0.02066826820373535,1.9405500451623827,0.009286494066910707
25,relu,adam,4,0.0001,0.3362428445994061,0.042502947580601205,15,61.541192372639976,0.014000574747721354,0.29012573386954105,0.007790704044893999
47,relu,adam,4,0.001,0.33583888068948964,0.042360456734740634,17,60.60581620534261,0.015334208806355795,0.07212471868945494,0.011085222154778944
69,relu,adam,4,0.01,0.3358442890264797,0.04236716307869038,16,61.132312059402466,0.023668368657430012,0.2535593278582495,0.008219216155151
91,relu,adam,4,0.1,0.3362571189346768,0.042483266702739025,12,61.33602635065714,0.027334054311116535,0.24795351592395792,0.013767697111635046
113,relu,adam,4,1,0.33624735893219526,0.04226695840164464,14,61.79011917114258,0.019668976465861004,0.18814937907816548,0.010624796565180318
5,relu,adam,5,1e-05,0.3377933806415904,0.023903856773889794,2,63.62220366795858,0.020001649856567383,0.5781676832502882,0.013736535500011717
27,relu,adam,5,0.0001,0.3377868133280037,0.02390056962723776,3,63.830085595448814,0.01566934585571289,0.755809834393826,0.010145039160860129
49,relu,adam,5,0.001,0.33777972769087355,0.02389917187697361,4,63.657766819000244,0.0240018367767334,0.13250864874544466,0.011776798418587399
71,relu,adam,5,0.01,0.3377555783169419,0.023945938249997377,7,63.5453933874766,0.03233599662780762,0.470967906138531,0.025773175812246637
93,relu,adam,5,0.1,0.3377655625562799,0.023937987415206453,5,63.51107311248779,0.024670998255411785,0.31410840285675135,0.010869736044416574
115,relu,adam,5,1,0.33776290159476896,0.02393290983324243,6,63.272231578826904,0.02100348472595215,0.5220786184739546,0.01143012363114623
7,relu,adam,6,1e-05,0.3368626107314368,0.02029648723983344,11,62.81441855430603,0.031336466471354164,1.0613424124341349,0.006797374108059865
29,relu,adam,6,0.0001,0.3368757345606131,0.020289832570940473,10,63.51540994644165,0.023332993189493816,0.579666147028788,0.012657315670297932
51,relu,adam,6,0.001,0.3369119633852114,0.020237712562539988,9,63.42383201917013,0.018334229787190754,0.22389286936631095,0.011898998548320263
73,relu,adam,6,0.01,0.3358147325714104,0.019862712083894906,18,63.97108697891235,0.03466876347859701,0.16737518366463192,0.0004715957797873884
95,relu,adam,6,0.1,0.33792483686407854,0.019230590171962242,1,63.34641742706299,0.02334737777709961,0.5390596076486488,0.012123462430386329
117,relu,adam,6,1,0.33709945775084865,0.02001664674526579,8,63.71938943862915,0.0260006586710612,0.6761868716782512,0.012728460641886027
9,relu,adam,7,1e-05,0.32258463540161414,0.03709846124304087,33,66.70427703857422,0.02633508046468099,0.4001437813748858,0.01087409225825486
31,relu,adam,7,0.0001,0.32257445535184587,0.0370818090346813,34,67.87777312596639,0.025000890096028645,1.0676119582777537,0.012028975127873723
53,relu,adam,7,0.001,0.3224899660797844,0.03717483667783844,35,67.10107851028442,0.033336242039998375,0.423022162543541,0.0017013118838640462
