season,player_name,fanPts,complete_pass,fumble,incomplete_pass,interception,no_huddle,pass_attempt,pass_touchdown,qb_dropback,qb_hit,rush_attempt,rush_touchdown,shotgun,tackled_for_loss,touchdown,air_yards,yards_after_catch,yards_gained,rec_yards,rush_yards,fanPts-1,complete_pass-1,fumble-1,incomplete_pass-1,interception-1,no_huddle-1,pass_attempt-1,pass_touchdown-1,qb_dropback-1,qb_hit-1,rush_attempt-1,rush_touchdown-1,shotgun-1,tackled_for_loss-1,touchdown-1,air_yards-1,yards_after_catch-1,yards_gained-1,rec_yards-1,rush_yards-1,fanPts-2,complete_pass-2,fumble-2,incomplete_pass-2,interception-2,no_huddle-2,pass_attempt-2,pass_touchdown-2,qb_dropback-2,qb_hit-2,rush_attempt-2,rush_touchdown-2,shotgun-2,tackled_for_loss-2,touchdown-2,air_yards-2,yards_after_catch-2,yards_gained-2,rec_yards-2,rush_yards-2,fanPts-3,complete_pass-3,fumble-3,incomplete_pass-3,interception-3,no_huddle-3,pass_attempt-3,pass_touchdown-3,qb_dropback-3,qb_hit-3,rush_attempt-3,rush_touchdown-3,shotgun-3,tackled_for_loss-3,touchdown-3,air_yards-3,yards_after_catch-3,yards_gained-3,rec_yards-3,rush_yards-3
1999,A.Connell,169.4,68.0,1.0,59.0,5.0,0.0,132.0,8.0,132.0,0.0,1.0,0.0,11.0,0.0,8.0,0.0,0.0,1234.0,1226.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Cooper,9.8,9.0,0.0,7.0,1.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,98.0,98.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Craver,17.4,19.0,1.0,20.0,3.0,0.0,42.0,0.0,42.0,0.0,17.0,0.0,1.0,3.0,0.0,0.0,12.0,194.0,154.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Denson,13.5,4.0,1.0,2.0,0.0,0.0,6.0,0.0,5.0,0.0,41.0,0.0,1.0,7.0,0.0,0.0,0.0,155.0,28.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Freeman,147.2,74.0,1.0,54.0,4.0,0.0,132.0,6.0,132.0,0.0,1.0,0.0,25.0,1.0,7.0,0.0,-1.0,1072.0,1074.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Glover,39.9,29.0,0.0,21.0,3.0,0.0,54.0,1.0,53.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,339.0,339.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Green,12.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,0.0,120.0,0.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Hakim,124.1,39.0,0.0,28.0,0.0,0.0,68.0,8.0,68.0,0.0,6.0,0.0,7.0,1.0,8.0,0.0,22.0,761.0,707.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Harper,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,A.Hastings,68.8,40.0,0.0,20.0,3.0,0.0,63.0,1.0,63.0,0.0,1.0,0.0,11.0,0.0,2.0,0.0,14.0,568.0,564.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
