tackled_for_loss_seasonTotal,yards_gained_seasonTotal,fumble_seasonTotal,touchdown_seasonTotal,complete_pass_seasonTotal,pass_attempt_seasonTotal,pass_touchdown_seasonTotal,air_yards_seasonTotal,yards_after_catch_seasonTotal,tackled_for_loss-1_seasonTotal,yards_gained-1_seasonTotal,fumble-1_seasonTotal,touchdown-1_seasonTotal,complete_pass-1_seasonTotal,pass_attempt-1_seasonTotal,pass_touchdown-1_seasonTotal,air_yards-1_seasonTotal,yards_after_catch-1_seasonTotal,tackled_for_loss-2_seasonTotal,yards_gained-2_seasonTotal,fumble-2_seasonTotal,touchdown-2_seasonTotal,complete_pass-2_seasonTotal,pass_attempt-2_seasonTotal,pass_touchdown-2_seasonTotal,air_yards-2_seasonTotal,yards_after_catch-2_seasonTotal,tackled_for_loss-3_seasonTotal,yards_gained-3_seasonTotal,fumble-3_seasonTotal,touchdown-3_seasonTotal,complete_pass-3_seasonTotal,pass_attempt-3_seasonTotal,pass_touchdown-3_seasonTotal,air_yards-3_seasonTotal,yards_after_catch-3_seasonTotal,tackled_for_loss_avgPerGame,yards_gained_avgPerGame,fumble_avgPerGame,touchdown_avgPerGame,complete_pass_avgPerGame,pass_attempt_avgPerGame,pass_touchdown_avgPerGame,air_yards_avgPerGame,yards_after_catch_avgPerGame,tackled_for_loss-1_avgPerGame,yards_gained-1_avgPerGame,fumble-1_avgPerGame,touchdown-1_avgPerGame,complete_pass-1_avgPerGame,pass_attempt-1_avgPerGame,pass_touchdown-1_avgPerGame,air_yards-1_avgPerGame,yards_after_catch-1_avgPerGame,tackled_for_loss-2_avgPerGame,yards_gained-2_avgPerGame,fumble-2_avgPerGame,touchdown-2_avgPerGame,complete_pass-2_avgPerGame,pass_attempt-2_avgPerGame,pass_touchdown-2_avgPerGame,air_yards-2_avgPerGame,yards_after_catch-2_avgPerGame,tackled_for_loss-3_avgPerGame,yards_gained-3_avgPerGame,fumble-3_avgPerGame,touchdown-3_avgPerGame,complete_pass-3_avgPerGame,pass_attempt-3_avgPerGame,pass_touchdown-3_avgPerGame,air_yards-3_avgPerGame,yards_after_catch-3_avgPerGame,fanPts,fanPts-1,fanPts-2,fanPts-3
0.0,1234.0,1.0,8.0,68.0,132.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,72.58823529411765,0.058823529411764705,0.47058823529411764,4.0,7.764705882352941,0.47058823529411764,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.4,,,
0.0,98.0,0.0,0.0,9.0,17.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,1.2857142857142858,2.4285714285714284,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,,
1.0,1072.0,1.0,7.0,74.0,132.0,6.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,67.0,0.0625,0.4375,4.625,8.25,0.375,0.0,-0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.2,,,
2.0,120.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,15.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,
1.0,761.0,0.0,8.0,39.0,68.0,8.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,47.5625,0.0,0.5,2.4375,4.25,0.5,0.0,1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1,,,
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
0.0,568.0,0.0,2.0,40.0,63.0,1.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,37.86666666666667,0.0,0.13333333333333333,2.6666666666666665,4.2,0.06666666666666667,0.0,0.9333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8,,,
5.0,178.0,1.0,0.0,13.0,18.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4166666666666667,14.833333333333334,0.08333333333333333,0.0,1.0833333333333333,1.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,,,
0.0,45.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.5,0.0,0.5,1.5,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,
0.0,536.0,0.0,1.0,52.0,93.0,1.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,31.529411764705884,0.0,0.058823529411764705,3.0588235294117645,5.470588235294118,0.058823529411764705,0.0,0.7058823529411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6,,,
