Field,Description,Use,Pass,Rec,Rush,Type,Tag,Binary,Numeric,String,ID,Prob,EPA,WPA,(Check)
complete_pass,Binary indicator for if the pass was completed.,1,1,1,,Binary,,1,0,0,0,0,0,0,1
pass_attempt,Binary indicator for if the play was a pass attempt (includes sacks).,1,1,1,,Binary,,1,0,0,0,0,0,0,1
pass_touchdown,Binary indicator for if the play resulted in a passing TD.,1,1,1,,Binary,,1,0,0,0,0,0,0,1
qb_dropback,"Binary indicator for whether or not the QB dropped back on the play (pass attempt, sack, or scrambled).",1,1,,,Binary,,1,0,0,0,0,0,0,1
qb_hit,Binary indicator if the QB was hit on the play.,1,1,,,Binary,,1,0,0,0,0,0,0,1
qb_scramble,Binary indicator for whether or not the QB scrambled.,1,1,,,Binary,,1,0,0,0,0,0,0,1
rush_attempt,Binary indicator for if the play was a run.,1,,,1,Binary,,1,0,0,0,0,0,0,1
rush_touchdown,Binary indicator for if the play resulted in a rushing TD.,1,,,1,Binary,,1,0,0,0,0,0,0,1
sack,Binary indicator for if the play ended in a sack.,1,1,,,Binary,,1,0,0,0,0,0,0,1
tackled_for_loss,Binary indicator for whether or not a tackle for loss occurred.,1,1,1,1,Binary,,1,0,0,0,0,0,0,1
game_id,Ten digit identifier for NFL game.,1,1,1,1,ID,,0,0,0,1,0,0,0,1
passer_player_id,Unique identifier for the player that attempted the pass.,1,1,,,ID,,0,0,0,1,0,0,0,1
play_id,Numeric play id that when used with game_id and drive provides the unique identifier for a single play.,1,1,1,1,ID,,0,0,0,1,0,0,0,1
receiver_player_id,Unique identifier for the receiver that was targeted on the pass.,1,,1,,ID,,0,0,0,1,0,0,0,1
rusher_player_id,Unique identifier for the player that attempted the run.,1,,,1,ID,,0,0,0,1,0,0,0,1
air_yards,Numeric value for distance in yards perpendicular to the line of scrimmage at where the targeted receiver either caught or didn't catch the ball.,1,1,1,,Numeric,,0,1,0,0,0,0,0,1
yards_after_catch,Numeric value for distance in yards perpendicular to the yard line where the receiver made the reception to where the play ended.,1,,1,,Numeric,,0,1,0,0,0,0,0,1
yards_gained,Numeric yards gained (or lost) for the given play.,1,1,1,1,Numeric,,0,1,0,0,0,0,0,1
play_type,"String indicating the type of play: pass (includes sacks), run (includes scrambles), punt, field_goal, kickoff, extra_point, qb_kneel, qb_spike, no_play (timeouts and penalties), and missing for rows indicating end of play.",1,1,1,1,String,,0,0,1,0,0,0,0,1
posteam_type,String indicating whether the posteam team is home or away.,1,1,1,1,String,,0,0,1,0,0,0,0,1
fumble,Binary indicator for if a fumble occurred.,1,1,1,1,Binary,,1,0,0,0,0,0,0,1
incomplete_pass,Binary indicator for if the pass was incomplete.,,,,,Binary,,1,0,0,0,0,0,0,1
interception,Binary indicator for if the pass was intercepted.,1,1,,,Binary,,1,0,0,0,0,0,0,1
no_huddle,Binary indicator for whether or not the play was in no_huddle formation.,,,,,Binary,,1,0,0,0,0,0,0,1
safety,Binary indicator for whether or not a safety occurred.,,,,,Binary,,1,0,0,0,0,0,0,1
shotgun,Binary indicator for whether or not the play was in shotgun formation.,,,,,Binary,,1,0,0,0,0,0,0,1
touchdown,Binary indicator for if the play resulted in a TD.,1,1,1,1,Binary,,1,0,0,0,0,0,0,1
fumbled_1_player_id,Unique identifier of one of the players with a fumble.,,,,,ID,,0,0,0,1,0,0,0,1
fumbled_2_player_id,Unique identifier of one of the players with a fumble.,,,,,ID,,0,0,0,1,0,0,0,1
assist_tackle,Binary indicator for if an assist tackle occurred.,,,,,Binary,def,1,0,0,0,0,0,0,1
solo_tackle,Binary indicator if the play had a solo tackle (could be multiple due to fumbles).,,,,,Binary,def,1,0,0,0,0,0,0,1
assist_tackle_1_player_id,Unique identifier of one of the players with a tackle assist.,,,,,ID,def,0,0,0,1,0,0,0,1
assist_tackle_2_player_id,Unique identifier of one of the players with a tackle assist.,,,,,ID,def,0,0,0,1,0,0,0,1
assist_tackle_3_player_id,Unique identifier of one of the players with a tackle assist.,,,,,ID,def,0,0,0,1,0,0,0,1
assist_tackle_4_player_id,Unique identifier of one of the players with a tackle assist.,,,,,ID,def,0,0,0,1,0,0,0,1
forced_fumble_player_1_player_id,Unique identifier of one of the players with a forced fumble.,,,,,ID,def,0,0,0,1,0,0,0,1
forced_fumble_player_2_player_id,Unique identifier of one of the players with a forced fumble.,,,,,ID,def,0,0,0,1,0,0,0,1
fumble_recovery_1_player_id,Unique identifier of one of the players with a fumble recovery.,,,,,ID,def,0,0,0,1,0,0,0,1
fumble_recovery_2_player_id,Unique identifier of one of the players with a fumble recovery.,,,,,ID,def,0,0,0,1,0,0,0,1
interception_player_id,Unique identifier for the player that intercepted the pass.,,,,,ID,def,0,0,0,1,0,0,0,1
pass_defense_1_player_id,Unique identifier of one of the players with a pass defense.,,,,,ID,def,0,0,0,1,0,0,0,1
pass_defense_2_player_id,Unique identifier of one of the players with a pass defense.,,,,,ID,def,0,0,0,1,0,0,0,1
qb_hit_1_player_id,Unique identifier for one of the potential players that hit the QB.,,,,,ID,def,0,0,0,1,0,0,0,1
qb_hit_2_player_id,Unique identifier for one of the potential players that hit the QB.,,,,,ID,def,0,0,0,1,0,0,0,1
solo_tackle_1_player_id,Unique identifier of one of the players with a solo tackle.,,,,,ID,def,0,0,0,1,0,0,0,1
solo_tackle_2_player_id,Unique identifier of one of the players with a solo tackle.,,,,,ID,def,0,0,0,1,0,0,0,1
tackle_for_loss_1_player_id,Unique identifier for one of the potential players with the tackle for loss.,,,,,ID,def,0,0,0,1,0,0,0,1
tackle_for_loss_2_player_id,Unique identifier for one of the potential players with the tackle for loss.,,,,,ID,def,0,0,0,1,0,0,0,1
assist_tackle_1_player_name,String name of one of the players with a tackle assist.,,,,,String,id,0,0,1,0,0,0,0,1
assist_tackle_2_player_name,String name of one of the players with a tackle assist.,,,,,String,id,0,0,1,0,0,0,0,1
assist_tackle_3_player_name,String name of one of the players with a tackle assist.,,,,,String,id,0,0,1,0,0,0,0,1
assist_tackle_4_player_name,String name of one of the players with a tackle assist.,,,,,String,id,0,0,1,0,0,0,0,1
blocked_player_name,String name for the player that blocked the punt or FG.,,,,,String,id,0,0,1,0,0,0,0,1
forced_fumble_player_1_player_name,String name of one of the players with a forced fumble.,,,,,String,id,0,0,1,0,0,0,0,1
forced_fumble_player_2_player_name,String name of one of the players with a forced fumble.,,,,,String,id,0,0,1,0,0,0,0,1
fumble_recovery_1_player_name,String name of one of the players with a fumble recovery.,,,,,String,id,0,0,1,0,0,0,0,1
fumble_recovery_2_player_name,String name of one of the players with a fumble recovery.,,,,,String,id,0,0,1,0,0,0,0,1
fumbled_1_player_name,String name of one of the players with a fumble.,,,,,String,id,0,0,1,0,0,0,0,1
fumbled_2_player_name,String name of one of the players with a fumble.,,,,,String,id,0,0,1,0,0,0,0,1
interception_player_name,String name for the player that intercepted the pass.,,,,,String,id,0,0,1,0,0,0,0,1
kicker_player_name,String name for the kicker on FG or kickoff.,,,,,String,id,0,0,1,0,0,0,0,1
kickoff_returner_player_name,String name for the kickoff returner.,,,,,String,id,0,0,1,0,0,0,0,1
lateral_interception_player_name,String name for the player that received the lateral on an interception.,,,,,String,id,0,0,1,0,0,0,0,1
lateral_kickoff_returner_player_name,String name for the player that received the lateral on a kickoff return.,,,,,String,id,0,0,1,0,0,0,0,1
lateral_punt_returner_player_name,String name for the player that received the lateral on a punt return.,,,,,String,id,0,0,1,0,0,0,0,1
lateral_receiver_player_name,String name for the player that received the lateral on a reception.,,,,,String,id,0,0,1,0,0,0,0,1
lateral_rusher_player_name,String name for the player that received the lateral on a run.,,,,,String,id,0,0,1,0,0,0,0,1
lateral_sack_player_name,String name for the player that received the lateral on a sack.,,,,,String,id,0,0,1,0,0,0,0,1
own_kickoff_recovery_player_name,String name for the player that recovered their own kickoff.,,,,,String,id,0,0,1,0,0,0,0,1
pass_defense_1_player_name,String name of one of the players with a pass defense.,,,,,String,id,0,0,1,0,0,0,0,1
pass_defense_2_player_name,String name of one of the players with a pass defense.,,,,,String,id,0,0,1,0,0,0,0,1
passer_player_name,String name for the player that attempted the pass.,1,1,,,String,id,0,0,1,0,0,0,0,1
punt_returner_player_name,String name for the punt returner.,,,,,String,id,0,0,1,0,0,0,0,1
punter_player_name,String name for the punter.,,,,,String,id,0,0,1,0,0,0,0,1
qb_hit_1_player_name,String name for one of the potential players that hit the QB.,,,,,String,id,0,0,1,0,0,0,0,1
qb_hit_2_player_name,String name for one of the potential players that hit the QB.,,,,,String,id,0,0,1,0,0,0,0,1
receiver_player_name,String name for the targeted receiver.,1,,1,,String,id,0,0,1,0,0,0,0,1
rusher_player_name,String name for the player that attempted the run.,1,,,1,String,id,0,0,1,0,0,0,0,1
solo_tackle_1_player_name,String name of one of the players with a solo tackle.,,,,,String,id,0,0,1,0,0,0,0,1
solo_tackle_2_player_name,String name of one of the players with a solo tackle.,,,,,String,id,0,0,1,0,0,0,0,1
tackle_for_loss_1_player_name,String name for one of the potential players with the tackle for loss.,,,,,String,id,0,0,1,0,0,0,0,1
tackle_for_loss_2_player_name,String name for one of the potential players with the tackle for loss.,,,,,String,id,0,0,1,0,0,0,0,1
air_epa,EPA from the air yards alone. For completions this represents the actual value provided through the air. For incompletions this represents the hypothetical value that could've been added through the air if the pass was completed.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
comp_air_epa,EPA from the air yards alone only for completions.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
comp_yac_epa,EPA from the yards after catch alone only for completions.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
epa,Expected points added (EPA) by the posteam for the given play.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_away_comp_air_epa,Cumulative total completions air EPA for the away team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_away_comp_yac_epa,Cumulative total completions yac EPA for the away team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_away_epa,Cumulative total EPA for the away team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_away_pass_epa,Cumulative total passing EPA for the away team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_away_raw_air_epa,Cumulative total raw air EPA for the away team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_away_raw_yac_epa,Cumulative total raw yac EPA for the away team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_away_rush_epa,Cumulative total rushing EPA for the away team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_home_comp_air_epa,Cumulative total completions air EPA for the home team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_home_comp_yac_epa,Cumulative total completions yac EPA for the home team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_home_epa,Cumulative total EPA for the home team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_home_pass_epa,Cumulative total passing EPA for the home team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_home_raw_air_epa,Cumulative total raw air EPA for the home team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_home_raw_yac_epa,Cumulative total raw yac EPA for the home team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
total_home_rush_epa,Cumulative total rushing EPA for the home team in the game so far.,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
yac_epa,EPA from the yards after catch alone. For completions this represents the actual value provided after the catch. For incompletions this represents the difference between the hypothetical air_epa and the play's raw observed EPA (how much the incomplete pass cost the posteam).,,,,,EPA,irrelevant,0,0,0,0,0,1,0,1
away_wp,Estimated win probability for the away team.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
away_wp_post,Estimated win probability for the away team at the start of the play.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
def_wp,Estimated win probability for the defteam.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
ep,"Using the scoring event probabilities, the estimated expected points with respect to the possession team for the given play.",,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
extra_point_prob,Predicted probability of the posteam scoring an extra point.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
fg_prob,Predicted probability of the posteam scoring a FG next.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
home_wp,Estimated win probability for the home team.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
home_wp_post,Estimated win probability for the home team at the start of the play.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
no_score_prob,Predicted probability of no score occurring for the rest of the half based on the expected points model.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
opp_fg_prob,Predicted probability of the defteam scoring a FG next.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
opp_safety_prob,Predicted probability of the defteam scoring a safety next.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
opp_td_prob,Predicted probability of the defteam scoring a TD next.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
safety_prob,Predicted probability of the posteam scoring a safety next.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
td_prob,Predicted probability of the posteam scoring a TD next.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
two_point_conversion_prob,Predicted probability of the posteam scoring the two point conversion.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
wp,Estimated win probabiity for the posteam given the current situation at the start of the given play.,,,,,Prob,irrelevant,0,0,0,0,1,0,0,1
desc,Detailed string description for the given play.,,,,,String,irrelevant,0,0,1,0,0,0,0,1
air_wpa,WPA through the air (same logic as air_epa).,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
comp_air_wpa,The air_wpa for completions only.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
comp_yac_wpa,The yac_wpa for completions only.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_away_comp_air_wpa,Cumulative total completions air WPA for the away team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_away_comp_yac_wpa,Cumulative total completions yac WPA for the away team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_away_pass_wpa,Cumulative total passing WPA for the away team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_away_raw_air_wpa,Cumulative total raw air WPA for the away team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_away_raw_yac_wpa,Cumulative total raw yac WPA for the away team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_away_rush_wpa,Cumulative total rushing WPA for the away team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_home_comp_air_wpa,Cumulative total completions air WPA for the home team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_home_comp_yac_wpa,Cumulative total completions yac WPA for the home team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_home_pass_wpa,Cumulative total passing WPA for the home team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
total_home_raw_air_wpa,Cumulative total raw air WPA for the home team in the game so far.,,,,,WPA,irrelevant,0,0,0,0,0,0,1,1
