param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
relu,adam,100,0.1,0.441629366,0.022318041,1,13.26421251,0.018400335,1.530598858,0.001357599
relu,adam,100,0.01,0.439629769,0.020812181,2,15.78082514,0.024199629,3.581930286,0.005708349
relu,adam,50,1.00E-05,0.439125346,0.02698945,3,9.258132553,0.009601593,1.157972523,0.000801586
relu,adam,100,1,0.438505251,0.035140864,4,14.77157583,0.018201447,1.089647536,0.002039705
relu,adam,50,1,0.435612002,0.027191441,5,12.79410043,0.01300292,1.836680102,0.000895768
relu,adam,100,0.0001,0.435396167,0.031318403,6,17.76492386,0.018400717,3.9079204,0.000490048
relu,adam,50,0.0001,0.435362253,0.024590503,7,12.82676435,0.012799215,1.571768623,0.000981849
relu,adam,50,0.1,0.433743253,0.027862708,8,11.85485997,0.01319828,1.684465883,0.000753204
relu,adam,50,0.001,0.433600384,0.025497943,9,11.50749326,0.012399721,1.794788124,0.000798452
relu,adam,50,0.01,0.432053083,0.024854717,10,12.59321399,0.013002396,1.729955848,0.00126573
relu,adam,100,0.001,0.430082785,0.032773053,11,15.60721192,0.017867708,4.124608641,0.001238978
relu,adam,100,1.00E-05,0.429601677,0.036103816,12,11.98805304,0.015798855,1.560476407,0.002928048
relu,adam,"(50, 50)",0.1,0.423858073,0.033402961,13,20.02343488,0.019001341,6.80932809,0.001414145
relu,adam,"(50, 50)",0.0001,0.42340559,0.037701668,14,25.46363192,0.020604372,4.357579097,0.002059538
relu,adam,"(50, 50)",1.00E-05,0.420669443,0.018875208,15,16.56032286,0.015801573,4.462637327,0.000978075
relu,adam,"(50, 50)",1,0.420430632,0.035151274,16,21.56862893,0.021602678,6.503856468,0.001020425
relu,adam,"(50, 50)",0.01,0.415643173,0.024025886,17,22.02396345,0.019600439,6.847326849,0.000486829
relu,adam,200,0.1,0.411553401,0.03118079,18,29.17861447,0.030602598,10.70244838,0.001019891
relu,adam,"(50, 50)",0.001,0.408929174,0.047018835,19,23.16790757,0.021202135,6.322475762,0.004449598
relu,adam,200,0.01,0.406404769,0.036296706,20,31.2408278,0.030603075,8.488612114,0.002940431
relu,adam,200,1,0.40232746,0.03373431,21,29.31827312,0.032202196,8.288635446,0.002565831
relu,adam,200,1.00E-05,0.40125511,0.033179375,22,32.47483635,0.031804132,10.82574438,0.002230116
relu,adam,200,0.0001,0.399858845,0.028262596,23,32.6101275,0.034002256,11.51603899,0.003352736
relu,adam,200,0.001,0.396637109,0.035731089,24,37.24334154,0.035019541,7.162442546,0.006052614
relu,lbfgs,50,0.001,0.389321909,0.026733848,25,12.49355164,0.012203836,0.242355181,0.000980666
relu,lbfgs,50,1,0.387919752,0.029107726,26,12.76621857,0.011800909,0.981744734,0.000749774
relu,lbfgs,50,1.00E-05,0.386831812,0.026358784,27,9.199978304,0.011001158,0.390116853,0.002530923
relu,lbfgs,50,0.01,0.386824123,0.028245617,28,12.24645529,0.017383146,0.358938912,0.009316867
relu,lbfgs,50,0.0001,0.386131236,0.02715421,29,12.44003592,0.013000441,0.179317926,0.001096551
relu,lbfgs,100,1,0.383761402,0.039153292,30,21.76343455,0.019203711,0.975359742,0.000979902
relu,lbfgs,50,0.1,0.383441075,0.023850869,31,12.25061507,0.015600967,0.218126089,0.003254604
relu,lbfgs,100,0.1,0.383149372,0.036854908,32,20.5815887,0.018801355,0.298883313,0.000399784
relu,lbfgs,100,0.001,0.380922201,0.041808133,33,21.01883154,0.018401194,0.082174643,0.000800472
relu,lbfgs,100,0.01,0.380870719,0.044120641,34,20.90859542,0.024001026,0.432251033,0.007243293
relu,lbfgs,100,1.00E-05,0.374470412,0.044923487,35,16.11186647,0.015601587,0.496384549,0.003259134
relu,lbfgs,100,0.0001,0.373896702,0.042593063,36,21.4813611,0.021604633,0.818104456,0.004670929
relu,lbfgs,200,0.001,0.37025518,0.045415764,37,38.55637517,0.033803701,0.834501279,0.003483527
relu,lbfgs,200,0.01,0.367272936,0.042744278,38,38.93919702,0.042070675,0.470235098,0.009486632
relu,adam,"(100, 100)",1,0.36655229,0.043763596,39,45.80304775,0.036802435,11.61640861,0.002136978
relu,lbfgs,200,1.00E-05,0.365215797,0.041587227,40,41.63277764,0.041805458,2.178580883,0.005268626
relu,lbfgs,200,1,0.364136491,0.041454177,41,41.04960103,0.038605118,1.483589562,0.00939246
relu,lbfgs,200,0.1,0.363707459,0.047121106,42,39.09603739,0.035807037,0.337427134,0.010205462
relu,lbfgs,200,0.0001,0.362755242,0.042726233,43,38.39650898,0.03330636,0.770563622,0.003909598
relu,adam,"(100, 100)",0.1,0.362585766,0.051454861,44,48.97386241,0.035203028,7.431354985,0.003545106
relu,adam,"(100, 100)",0.0001,0.362327717,0.042381276,45,48.26816044,0.035978699,6.294299958,0.003044648
relu,lbfgs,"(100, 100)",0.01,0.359979973,0.03803869,46,49.24827676,0.037726116,0.538178606,0.003639696
relu,lbfgs,"(100, 100)",1.00E-05,0.358475694,0.031413534,47,40.21882482,0.031801605,0.848848801,0.006014901
relu,adam,"(100, 100)",0.01,0.35765695,0.048602707,48,48.72591734,0.041832066,6.598940376,0.010956995
relu,lbfgs,"(100, 100)",1,0.356623943,0.030323203,49,49.56277099,0.046405745,0.375306132,0.0111484
relu,lbfgs,"(100, 100)",0.001,0.353617558,0.032594238,50,48.38019252,0.041405535,1.224849874,0.007449643
relu,lbfgs,"(100, 100)",0.1,0.352882002,0.028913737,51,48.59944153,0.039514065,1.30895823,0.005772608
relu,lbfgs,"(100, 100)",0.0001,0.352426636,0.036671717,52,49.12173319,0.040802717,0.744051683,0.005115907
relu,adam,"(100, 100)",1.00E-05,0.35072554,0.03725228,53,40.82120481,0.033401918,7.385528351,0.006653319
relu,lbfgs,"(50, 50)",0.01,0.350703305,0.030108456,54,23.7634439,0.020868969,0.20061304,0.00232261
relu,lbfgs,"(50, 50, 50)",0.0001,0.349938422,0.036821872,55,36.44582939,0.031604528,0.667804759,0.007283541
relu,adam,"(100, 100)",0.001,0.349776216,0.055578791,56,46.46278734,0.040403748,11.11379074,0.007471475
relu,adam,"(50, 50, 50)",1.00E-05,0.349738182,0.048182603,57,30.55181508,0.020801067,1.540369821,0.002783368
relu,lbfgs,"(50, 50)",1.00E-05,0.349397619,0.038190196,58,18.42837062,0.01919136,0.501398514,0.007058503
