param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
relu,adam,10,0.01,0.460204611,0.023110092,1,8.716255379,0.006400681,0.221032258,0.00598748
relu,adam,10,1.00E-05,0.460157514,0.023717884,2,8.128227901,0.001601124,0.205200446,0.003202248
relu,adam,10,1,0.46004855,0.022986701,3,9.363327217,0.006000996,0.714920139,0.000634303
relu,adam,10,0.0001,0.460014938,0.023832769,4,8.547787476,0.003201437,0.316003278,0.003920944
relu,adam,10,0.001,0.459821613,0.023253881,5,8.668799257,0.003201818,0.220932374,0.003921411
relu,adam,10,0.1,0.459815362,0.023220802,6,7.955529261,0.006399584,0.275052634,0.000800758
relu,adam,30,0.1,0.450614063,0.021054617,7,10.36867852,0.008201647,1.049936989,0.000746723
relu,adam,30,1.00E-05,0.448305375,0.021937955,8,10.73033051,0.007455873,0.886323509,0.001093772
relu,adam,40,0.0001,0.448301671,0.024098728,9,10.94972153,0.012803173,1.078698718,0.003918648
relu,adam,40,1.00E-05,0.448185837,0.026591374,10,11.89438033,0.011201572,1.364442802,0.00392445
relu,adam,30,0.001,0.448051509,0.026135895,11,10.96850867,0.007994413,1.699543165,7.75E-06
relu,adam,40,0.1,0.447599382,0.026183075,12,11.81849008,0.010000372,1.925587332,4.98E-06
relu,adam,30,0.0001,0.446970196,0.024192892,13,9.66749382,0.00800128,1.075849694,1.34E-06
relu,adam,30,1,0.44633027,0.022832208,14,9.289885807,0.009000587,0.99318791,0.000633548
relu,adam,40,0.001,0.44615872,0.023549353,15,11.30240679,0.011204147,1.31067737,0.003920597
relu,adam,30,0.01,0.445806235,0.028238735,16,10.58244076,0.008000278,1.19628103,3.90E-06
relu,adam,40,0.01,0.445727198,0.022597465,17,11.53888369,0.011203384,1.325244867,0.003919563
relu,adam,40,1,0.444988151,0.024165322,18,10.86914001,0.010799408,1.762684047,0.001832112
relu,adam,100,0.1,0.441629366,0.022318041,19,12.41088123,0.017802763,1.57828034,0.001161569
relu,adam,90,0.0001,0.440570072,0.018770379,20,16.53795276,0.017602682,3.179169844,0.003198387
relu,adam,100,0.01,0.439629769,0.020812181,21,14.57372227,0.01500268,3.195986847,0.001096466
relu,adam,50,1.00E-05,0.439125346,0.02698945,22,10.88658032,0.01120348,1.240108375,0.003921236
relu,adam,100,1,0.438505251,0.035140864,23,13.39857974,0.017602205,1.511223,0.000488441
relu,adam,150,0.0001,0.438234626,0.026592177,24,21.35751343,0.024008131,5.410225654,7.46E-06
relu,adam,70,1.00E-05,0.438127788,0.040023602,25,12.44507732,0.013937759,2.764917242,0.003100655
relu,adam,150,0.01,0.438032284,0.033574105,26,15.05894961,0.022198391,2.2675339,0.000749189
relu,adam,70,1,0.437717546,0.041254552,27,11.49573379,0.01420064,3.295246788,0.00146881
relu,adam,20,0.0001,0.436822249,0.025524506,28,10.72617278,0.011203623,0.485652293,0.006401492
relu,adam,20,0.001,0.43623085,0.030111292,29,11.44389782,0.006402159,1.171370375,0.003201081
relu,adam,60,0.1,0.436167909,0.037976646,30,10.48178453,0.011398077,2.108367492,0.00049018
relu,adam,70,0.001,0.43608924,0.041803392,31,12.7762424,0.016004324,2.61540657,4.03E-06
relu,adam,150,0.1,0.436020599,0.025974852,32,20.45945172,0.024598646,5.40566916,0.002332636
relu,adam,150,1.00E-05,0.435647688,0.028066315,33,18.78705873,0.025601959,2.901760823,0.003202753
relu,adam,50,1,0.435612002,0.027191441,34,10.89259925,0.010598993,1.528296759,0.000487922
relu,adam,90,0.01,0.435431927,0.032303823,35,17.23935213,0.017400742,3.523607849,0.003324882
relu,adam,100,0.0001,0.435396167,0.031318403,36,16.27450867,0.022399282,3.143087144,0.005981109
relu,adam,50,0.0001,0.435362253,0.024590503,37,11.65681252,0.012872791,1.356634652,0.003979643
relu,adam,60,0.0001,0.435233038,0.034481633,38,10.96048193,0.016006517,1.630812512,0.005061393
relu,adam,160,0.01,0.435093953,0.033635793,39,15.75269618,0.023003674,2.641690324,0.001096543
relu,adam,20,1,0.435062491,0.025132355,40,8.731923437,0.008798933,1.632610834,0.0022271
relu,adam,90,1,0.435035622,0.021545118,41,18.33480444,0.017400265,5.070562597,0.002333302
relu,adam,120,0.001,0.434890469,0.024614961,42,15.56982164,0.020808125,3.126409669,0.003922678
relu,adam,20,1.00E-05,0.434762206,0.025997964,43,10.60350623,0.009599447,1.539921244,0.003200536
relu,adam,20,0.1,0.434690708,0.027204379,44,9.746302128,0.007802105,0.985100011,0.000402382
relu,adam,70,0.01,0.434525369,0.03814607,45,12.61599259,0.016002369,2.731604573,0.005062973
relu,adam,120,1.00E-05,0.434345134,0.024666698,46,17.56887865,0.017602015,4.851007744,0.003200985
relu,adam,160,0.0001,0.43403627,0.035085026,47,18.45807052,0.028806114,2.845843964,0.003921216
relu,adam,50,0.1,0.433743253,0.027862708,48,10.07555833,0.011800098,1.322419703,0.000747324
relu,adam,70,0.1,0.43364914,0.042645655,49,11.80573916,0.014400387,2.926876289,0.00048948
relu,adam,50,0.001,0.433600384,0.025497943,50,10.72695427,0.011201525,1.447796253,0.003919917
relu,adam,130,0.1,0.433443251,0.036876336,51,18.30282183,0.02239871,3.379073684,0.000798826
relu,adam,60,1.00E-05,0.433199437,0.035929457,52,10.58024769,0.007998419,0.646233656,4.55E-06
relu,adam,60,0.001,0.433107361,0.03293318,53,12.22135382,0.012800837,2.450311669,0.003916544
relu,adam,160,0.001,0.432959606,0.033419183,54,23.67146764,0.028807545,7.512793978,0.009602595
relu,adam,140,1,0.432817683,0.03095842,55,14.23981528,0.022999907,3.100635757,0.000896509
relu,adam,120,0.1,0.432631807,0.028579339,56,15.76140356,0.019000053,5.409795125,0.000632121
relu,adam,20,0.01,0.432479265,0.02922884,57,10.90256586,0.0080019,0.775645262,2.98E-06
relu,adam,50,0.01,0.432053083,0.024854717,58,13.05795751,0.01280961,1.992559313,0.003919427
relu,adam,70,0.0001,0.431969486,0.039872459,59,13.02974811,0.019204807,1.964307481,0.003923378
relu,adam,150,0.001,0.431530011,0.035354362,60,20.48623562,0.024006271,3.544341929,2.79E-06
relu,adam,160,1,0.431228679,0.03926898,61,15.8363368,0.017600441,2.043197579,0.005953668
relu,adam,90,0.001,0.431003866,0.017764232,62,15.53697042,0.01760478,3.871661439,0.003202582
relu,adam,90,0.1,0.430806462,0.029967463,63,15.64744649,0.016799307,3.11335014,0.000746131
relu,adam,80,0.1,0.430668437,0.031759029,64,13.47845087,0.015399361,3.615763667,0.000488794
relu,adam,60,0.01,0.430354167,0.03223121,65,11.57258449,0.012801504,1.449530362,0.003920692
relu,adam,100,0.001,0.430082785,0.032773053,66,17.64081726,0.020804167,4.151228579,0.003921586
relu,adam,120,0.01,0.42984201,0.032218306,67,14.00026021,0.016709852,5.238656983,0.002784882
relu,adam,140,0.01,0.429805427,0.031344956,68,11.88130941,0.020604086,1.90304289,0.0010197
relu,adam,140,0.1,0.429803575,0.032855386,69,16.13557491,0.022600794,2.716007164,0.000794605
relu,adam,100,1.00E-05,0.429601677,0.036103816,70,15.28054538,0.017603588,2.171283295,0.003200913
relu,adam,130,0.001,0.429420744,0.046931714,71,19.36768212,0.024377632,4.050169974,0.004493607
relu,adam,80,0.001,0.429301087,0.02958577,72,16.49713039,0.022404718,3.555805569,0.012803771
relu,adam,150,1,0.429221025,0.036413035,73,20.02355466,0.021791458,2.984043494,0.003765279
relu,adam,120,0.0001,0.42913866,0.031009123,74,16.34415107,0.01920681,3.823082616,0.003921937
relu,adam,120,1,0.428552081,0.030048394,75,14.06979809,0.019196701,3.32071969,0.000746318
relu,adam,130,1.00E-05,0.428254977,0.037491389,76,21.71073303,0.025605392,4.080508471,0.007841966
relu,adam,160,1.00E-05,0.427890925,0.030833294,77,20.37615285,0.024007082,6.205857878,3.33E-06
relu,adam,90,1.00E-05,0.42738962,0.029322496,78,15.71809349,0.017605829,4.923301197,0.003204441
relu,adam,60,1,0.427385729,0.030576818,79,11.62707629,0.011198425,2.36773116,0.000397628
relu,adam,140,0.001,0.426249599,0.029938445,80,20.09113011,0.03200841,7.77790507,0.00716157
relu,adam,80,0.0001,0.424358461,0.02468324,81,16.55882983,0.014402866,2.61027975,0.003199819
relu,adam,160,0.1,0.423242049,0.037240714,82,20.16973095,0.026402617,6.908838333,0.005713413
relu,adam,80,0.01,0.423186068,0.030166509,83,15.21511602,0.016004562,3.48879739,3.33E-06
relu,adam,130,1,0.423179553,0.043466191,84,18.55656219,0.020801783,4.967801868,0.001469225
relu,adam,140,1.00E-05,0.420693557,0.031858963,85,16.76308455,0.025606918,2.677286534,0.003200629
relu,adam,110,1,0.420327762,0.034774061,86,17.76171126,0.01880188,3.662370809,0.000749018
relu,adam,140,0.0001,0.420293694,0.021544616,87,20.4338625,0.025601101,6.587171807,0.0032033
relu,adam,80,1.00E-05,0.419568601,0.027597144,88,15.14126525,0.016003418,4.208768522,3.00E-06
