param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
relu,lbfgs,1,1e-05,0.18437628933360395,0.14663642222468173,316,0.631417989730835,0.004195737838745117,0.1730953652684909,0.0007457973611716205
relu,adam,1,1e-05,-0.4321672115424852,0.026224096004755466,319,4.271116018295288,0.002828216552734375,0.11711846425304638,0.002720937343298705
relu,lbfgs,2,1e-05,0.4520504128500473,0.034354403833368026,109,1.2242721557617187,0.005843973159790039,0.29036921375297486,0.007282007669241285
relu,adam,2,1e-05,0.4448166964630803,0.02986299769497791,179,4.650673818588257,0.0017988204956054688,0.17764787092056047,0.0014687323427807401
relu,lbfgs,3,1e-05,0.4602084258672626,0.025899056431036384,24,1.407780361175537,0.0070780754089355465,0.21415270444922366,0.00656704194339995
relu,adam,3,1e-05,0.4577649746489939,0.027424772014349716,55,5.0923957347869875,0.003402376174926758,0.17326093613326873,0.0004902550312772608
relu,lbfgs,4,1e-05,0.4572327605392091,0.026563497267020248,66,1.5935532569885253,0.00380096435546875,0.2995775810853815,0.00039988138379868336
relu,adam,4,1e-05,0.44055234641178664,0.024559296176168973,202,5.10593056678772,0.0037993431091308595,0.24501064566678332,0.0004013381064134517
relu,lbfgs,5,1e-05,0.44796615342384555,0.023063468281737148,149,1.9124443531036377,0.003801107406616211,0.2579115532847198,0.00040055385643577776
relu,adam,5,1e-05,0.4345379851177663,0.028735603242250034,233,5.189028024673462,0.004450273513793945,0.11147092248868004,0.0046731750554342534
relu,lbfgs,6,1e-05,0.46159134506616945,0.02337867566463854,22,1.8849348068237304,0.0034295082092285155,0.13960314651539643,0.0038119933398049195
relu,adam,6,1e-05,0.4672393209369403,0.02789106070784846,6,4.710676288604736,0.005037450790405273,0.3870209807177298,0.002210439589718479
relu,lbfgs,7,1e-05,0.4601499745523391,0.025172546737352277,28,2.293186330795288,0.0038167953491210936,0.10473544610590275,0.002721479066215155
relu,adam,7,1e-05,0.4526556415855989,0.024459873388942954,104,5.748171472549439,0.009321498870849609,0.2376264884672033,0.004292914768329671
relu,lbfgs,8,1e-05,0.45466903795451696,0.02756098791276011,87,2.260186958312988,0.005602645874023438,0.10413806248831728,0.002870515134693704
relu,adam,8,1e-05,0.4367570052187489,0.02836270312389597,218,4.994848203659058,0.010480737686157227,1.3116370528974128,0.01037991981376796
relu,lbfgs,9,1e-05,0.448612077840653,0.012288595498877905,143,2.7625981330871583,0.0064582347869873045,0.26734652857921143,0.0044882515072136985
relu,adam,9,1e-05,0.4513371091966777,0.030489635814747854,115,6.5188374519348145,0.003565692901611328,0.5308358205070287,0.0034818080720096394
relu,lbfgs,10,1e-05,0.46843990639873534,0.025821520689994916,2,2.7241803646087646,0.0036466121673583984,0.2282531485765984,0.004301324752830354
relu,adam,10,1e-05,0.4601575141021138,0.023717883771284313,27,6.296859979629517,0.0,0.418837154110693,0.0
relu,lbfgs,11,1e-05,0.44982959471492967,0.029172164668096426,135,2.7801440238952635,0.0028357505798339844,0.25085541324685856,0.002726108005546415
relu,adam,11,1e-05,0.4545707998761307,0.025552858414099114,88,6.668915891647339,0.004450321197509766,0.22186577253869408,0.0039052416811602843
relu,lbfgs,12,1e-05,0.44981355798368716,0.030680913016408635,136,2.3677392959594727,0.0036383628845214843,0.12481068370923765,0.003694700789749894
relu,adam,12,1e-05,0.4593800126607251,0.023386866582303774,43,6.893629932403565,0.004455375671386719,0.2898232312975642,0.004679494844509973
relu,lbfgs,13,1e-05,0.4345397139745845,0.029778267282418964,232,3.136943244934082,0.0032539844512939455,0.12063101960087162,0.003522603500862316
relu,adam,13,1e-05,0.4637117621782596,0.027192382689939454,16,5.764832973480225,0.0076901912689208984,0.2934676975396656,0.002961509575540597
relu,lbfgs,14,1e-05,0.42422945955324043,0.029967177268570493,250,3.2757383823394775,0.00487971305847168,0.1699031777683683,0.00436316462427816
relu,adam,14,1e-05,0.45447244822120003,0.0281771467299677,89,6.011830520629883,0.004050493240356445,0.7342487904081347,0.003356498150191578
relu,lbfgs,15,1e-05,0.4227823158869203,0.023758579206669708,256,3.6453162670135497,0.006474542617797852,0.07971174623779571,0.003686409364138952
relu,adam,15,1e-05,0.45057458665143557,0.02312844697273247,126,7.958053350448608,0.00404510498046875,0.1859979899753766,0.004233602971019341
relu,lbfgs,16,1e-05,0.4229633071044848,0.03335080331740516,255,3.6268701553344727,0.006111955642700196,0.15118333432190345,0.0071340022937824875
relu,adam,16,1e-05,0.45023735846123225,0.03357216277565553,132,6.007963800430298,0.006489419937133789,0.5414108309522008,0.004503815226500203
relu,lbfgs,17,1e-05,0.4235421282104067,0.02979631585786699,251,4.081620788574218,0.0004088878631591797,0.08432743394828626,0.0008177757263183594
relu,adam,17,1e-05,0.456621713430925,0.024602128398384767,71,8.108416604995728,0.006500053405761719,0.33923900423655634,0.0037021590267949877
relu,lbfgs,18,1e-05,0.45555069514466895,0.03478580844392332,81,3.8790010452270507,0.007683658599853515,0.1589521600522266,0.003922756735528624
relu,adam,18,1e-05,0.44904019797667727,0.02588187210846375,140,8.521826791763306,0.0036346435546875,0.5721249636917114,0.003694674025080984
relu,lbfgs,19,1e-05,0.45067281979954227,0.034198314555844794,124,4.750736093521118,0.003242969512939453,0.42288209667182636,0.003508566630602527
relu,adam,19,1e-05,0.4463661821692881,0.027465957441141407,162,8.594904804229737,0.007706832885742187,0.4696772968444563,0.003926974157219476
relu,lbfgs,20,1e-05,0.4180353375731668,0.03818767483685203,267,4.259255027770996,0.004039144515991211,0.2593876667396248,0.004229222722938514
relu,adam,20,1e-05,0.4347622062712778,0.025997963602196993,225,8.072537183761597,0.0072631359100341795,0.46678448397675354,0.003745913656619146
relu,lbfgs,21,1e-05,0.4070244660423213,0.030676628295666322,279,4.65573205947876,0.008529186248779297,0.11741802209207822,0.011275026445865047
relu,adam,21,1e-05,0.4442496556302943,0.017964032446969775,185,8.083160352706908,0.002859830856323242,0.4620834124536363,0.0037661090742806486
