,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
0,relu,adam,2,1e-05,0.46583681615697803,0.025819121714076385,143,4.781173467636108,0.004201269149780274,0.06020542921155099,0.0014691153085100242
28,relu,adam,2,0.0001,0.46583681276613476,0.02581912428442594,144,4.5264379501342775,0.0032025814056396485,0.10359305810400334,0.0004007139466481192
56,relu,adam,2,0.001,0.4658368606776033,0.025819149577639124,142,5.322651624679565,0.00560145378112793,0.618222725696641,0.004223556141346064
84,relu,adam,2,0.01,0.46583697534896035,0.02581907652128711,141,4.582593631744385,0.0035989761352539064,0.32351301743013816,0.0004913817303427683
112,relu,adam,2,0.1,0.4658391803840433,0.025818169655777483,140,4.448400020599365,0.003400707244873047,0.1525093207693708,0.0004892830146517959
140,relu,adam,2,1,0.465854968140885,0.02580622122276061,139,5.556956195831299,0.0033988475799560545,0.3491522321487675,0.0008004120332492523
1,relu,adam,3,1e-05,0.4561067652503944,0.025035440419680654,162,5.025759601593018,0.003800487518310547,0.3900108550533178,0.0011654621096504419
29,relu,adam,3,0.0001,0.45610677181863746,0.025035439005576945,161,4.4941521167755125,0.003800821304321289,0.08255931698233936,0.0004012358841005645
57,relu,adam,3,0.001,0.45610714780012585,0.025035268352948878,160,4.459808778762818,0.0036026477813720704,0.05102543445092718,0.0004919738719765199
85,relu,adam,3,0.01,0.4561083180669126,0.02504083771592503,159,4.447534799575806,0.0036011219024658205,0.07870460161561899,0.0004905072384447646
113,relu,adam,3,0.1,0.4561206824217316,0.025045290181470524,158,4.471187353134155,0.0029993534088134767,0.05636813759306564,1.9451215795870915e-06
141,relu,adam,3,1,0.45612854738678427,0.025036065206369997,157,4.892805004119873,0.0034018516540527343,0.1943729472902049,0.0004894165767041017
2,relu,adam,4,1e-05,0.40777429201405513,0.03417590652315761,168,5.752570962905883,0.004792404174804687,0.011757202608421786,0.002135880600216344
30,relu,adam,4,0.0001,0.4077742936163341,0.034175906153938514,167,4.513966464996338,0.0033967018127441405,0.07143364757160439,0.00048594711783385875
58,relu,adam,4,0.001,0.40777431995235885,0.03417591709579037,166,4.530575084686279,0.0035988330841064454,0.022446218458441674,0.0007986680151595495
86,relu,adam,4,0.01,0.4077743878610701,0.034175984287589396,165,4.513148403167724,0.0039997100830078125,0.04416718337094241,6.1157967273619936e-06
114,relu,adam,4,0.1,0.4077765064954103,0.03417555286510384,164,4.48932032585144,0.003601264953613281,0.03062459416912467,0.0004887786581781184
142,relu,adam,4,1,0.4077952133454124,0.034171389341228396,163,4.61966495513916,0.003601360321044922,0.18269741931016548,0.0004900195056476318
3,relu,adam,5,1e-05,0.4636615543089871,0.02689352155306578,154,6.487793827056885,0.007401180267333984,0.6168191462211606,0.0023336351400034673
31,relu,adam,5,0.0001,0.46366154119938363,0.02689351513909276,155,4.757692813873291,0.0036011695861816405,0.041131477440585866,0.0004903510720586187
59,relu,adam,5,0.001,0.46367041018041083,0.026902640174799798,153,4.74917459487915,0.0034006118774414064,0.0390857521916994,0.0004906218141418585
87,relu,adam,5,0.01,0.46366131933823757,0.02691106172838965,156,5.4674536228179935,0.0044002532958984375,0.42075721850575476,0.001017869257037333
115,relu,adam,5,0.1,0.4637273548845019,0.026801817775473913,151,4.726406860351562,0.0038022518157958983,0.026863778501267466,0.0007483798159288249
143,relu,adam,5,1,0.4636845467219889,0.026560896279242914,152,4.695986270904541,0.00400075912475586,0.04630152736879514,0.0006328793334504476
4,relu,adam,6,1e-05,0.46559647505668567,0.02596567979902498,146,7.008893966674805,0.004200077056884766,0.6833188131682133,0.0009783829776875775
32,relu,adam,6,0.0001,0.46559503942044567,0.025963767991287332,149,4.825962114334106,0.004598474502563477,0.03376748932921761,0.0007995320123483869
60,relu,adam,6,0.001,0.46559530686110673,0.02596342690697107,148,4.8392621040344235,0.00420074462890625,0.008864068125286593,0.0007479986206872828
88,relu,adam,6,0.01,0.4655983826588481,0.02596346727477286,145,6.167987585067749,0.006598854064941406,0.5150576284073765,0.0038268383313375047
116,relu,adam,6,0.1,0.46559291547031634,0.025957015689810306,150,4.755966567993164,0.004403162002563477,0.019976786057048123,0.0008044025551620056
144,relu,adam,6,1,0.46559619574521544,0.02595804910381441,147,4.7967160701751705,0.0039996147155761715,0.0326569108812343,0.0006333411125550375
5,relu,adam,7,1e-05,0.4694970801226755,0.02460082772126411,122,6.022438097000122,0.005396699905395508,0.3450711869103786,0.0012055692973886583
33,relu,adam,7,0.0001,0.4694924394894377,0.02459834091210222,124,4.930291938781738,0.0038014888763427735,0.04107894053394741,0.00040049650850935905
61,relu,adam,7,0.001,0.4694964242979873,0.02459751534831637,123,4.937372398376465,0.003800487518310547,0.036581520281228505,0.0003991628202920716
89,relu,adam,7,0.01,0.4694914489667588,0.024600955306394362,125,6.5749436378479,0.005200958251953125,0.5928882088499441,0.0023995161358560113
117,relu,adam,7,0.1,0.4694985889388323,0.024607680820104984,121,4.863663387298584,0.0040015697479248045,0.0603710580621031,2.0252953130336096e-06
145,relu,adam,7,1,0.4694891343862803,0.024591020855342132,126,4.87748155593872,0.003601217269897461,0.03286646792246696,0.0004896104312202246
6,relu,adam,8,1e-05,0.46746551606253944,0.023151960297772178,138,8.423251247406006,0.0045966625213623045,0.5764912654929032,0.0005051841905286244
34,relu,adam,8,0.0001,0.46749233441359583,0.023118376977425355,135,4.957747983932495,0.004000711441040039,0.10460310624913524,0.0006303020061262244
62,relu,adam,8,0.001,0.46747212851617126,0.023137583739351885,137,4.949019575119019,0.005001068115234375,0.06817448925090329,0.001999378994714793
90,relu,adam,8,0.01,0.46748256215034856,0.023107400586595273,136,5.2630815505981445,0.0042016029357910155,0.24704266251939067,0.00039818933223131306
118,relu,adam,8,0.1,0.4675786627911336,0.023233676544384897,133,4.8770829200744625,0.004001331329345703,0.0967992562870391,2.913783286562384e-06
146,relu,adam,8,1,0.46749781833242593,0.023104872800252828,134,4.86743540763855,0.004399538040161133,0.09119212702432915,0.0007983470667931897
7,relu,adam,9,1e-05,0.47045590730194053,0.025353417864913862,116,7.957221508026123,0.004599380493164063,0.9877970174954311,0.0008000563544128393
35,relu,adam,9,0.0001,0.47045489097139337,0.02535308099347116,117,5.208596134185791,0.004601383209228515,0.14795926921346664,0.0008006240526475238
63,relu,adam,9,0.001,0.4704870183750688,0.02535870979997701,115,5.158398580551148,0.0044018268585205075,0.08292485574638704,0.0004898780597965914
91,relu,adam,9,0.01,0.47039975837043313,0.025396353094319004,119,5.143983268737793,0.004800224304199218,0.06355397915911046,0.0011673089004239415
119,relu,adam,9,0.1,0.4704532995504234,0.02535872679226108,118,5.077916240692138,0.003996849060058594,0.05214692960987709,3.2550903636695887e-06
147,relu,adam,9,1,0.4703870373476173,0.02539589741547786,120,5.096975183486938,0.00400090217590332,0.04745968830863952,4.76837158203125e-07
8,relu,adam,10,1e-05,0.4724719150599883,0.022734948150340703,80,5.823923492431641,0.004195880889892578,0.3243165471532139,0.0009798757220509844
36,relu,adam,10,0.0001,0.4724719259733779,0.02273496165344302,79,5.193902158737183,0.00640106201171875,0.04228783927806268,0.0038249287158599807
64,relu,adam,10,0.001,0.4724795646034522,0.022732302907821474,78,5.23067684173584,0.005401229858398438,0.04452429796096926,0.0013588847457314866
92,relu,adam,10,0.01,0.4724499357985817,0.022749161906378122,81,5.19849648475647,0.004200363159179687,0.018869540832918235,0.00039917794358617395
120,relu,adam,10,0.1,0.47250992667567904,0.022868720369341632,77,5.188794469833374,0.004203367233276367,0.021760489558771627,0.00040004277188094905
148,relu,adam,10,1,0.472561219821363,0.022858392369746024,76,5.153381872177124,0.004200077056884766,0.048668917874236994,0.0004012206740324629
9,relu,adam,11,1e-05,0.4708667131138024,0.024650127960117757,112,5.24589958190918,0.004200983047485352,0.47132847223194263,0.00146973843777402
37,relu,adam,11,0.0001,0.47086179271724565,0.024647197707996945,113,5.977806043624878,0.005601644515991211,0.1296241690052921,0.0020591212409890574
65,relu,adam,11,0.001,0.4708778037719254,0.0246759513179541,111,5.467352819442749,0.004398775100708008,0.02414195052914948,0.0004897267906683407
93,relu,adam,11,0.01,0.4709025456643217,0.02465901356573177,110,5.471481990814209,0.004799079895019531,0.03722196627672762,0.000399692784948293
121,relu,adam,11,0.1,0.4708554684676597,0.024633902554887507,114,6.00644588470459,0.005560302734375,0.3584467889367318,0.0015904758959071192
149,relu,adam,11,1,0.47093236189014565,0.02459862823097131,109,5.4544675827026365,0.00440216064453125,0.025706123232889785,0.0004883275345382857
10,relu,adam,12,1e-05,0.4727448477360057,0.02449154788300978,69,4.486244010925293,0.0035999298095703127,0.05293037033778459,0.0004903155470454564
38,relu,adam,12,0.0001,0.47264787649331746,0.024361847047573087,74,7.0028492450714115,0.006002235412597656,0.5499609883711196,0.003031295693867174
66,relu,adam,12,0.001,0.4720937165950308,0.025212264558052252,83,5.709729433059692,0.0050010204315185545,0.123000024434541,0.0015490820037791782
94,relu,adam,12,0.01,0.47269881906090383,0.024433719877910827,73,5.447540616989135,0.0041979789733886715,0.020714113247686718,0.00039856674539663514
122,relu,adam,12,0.1,0.47213624053231273,0.025309918199369324,82,7.070069074630737,0.009001731872558594,0.48211354449847643,0.005549553564389428
150,relu,adam,12,1,0.47156211947015203,0.02518850266919468,107,5.501897478103638,0.0062027454376220705,0.10842717642432317,0.0027113222730768996
11,relu,adam,13,1e-05,0.4717671705102398,0.024505609316345007,88,4.578794670104981,0.0037998676300048826,0.02884620185734715,0.0004015986241179984
39,relu,adam,13,0.0001,0.4716682875554389,0.02441046751711044,98,7.478153944015503,0.004600906372070312,0.4719743314901585,0.0008006828375701446
67,relu,adam,13,0.001,0.4717247651041845,0.024408765087306748,97,5.976571798324585,0.004402971267700196,0.056761204742593045,0.0004891254068233053
95,relu,adam,13,0.01,0.47166387995776493,0.02440442511884794,99,5.7190979480743405,0.004800558090209961,0.04582173321556007,0.0007508143647034414
123,relu,adam,13,0.1,0.4717698889096996,0.0244824553184808,87,7.228274488449097,0.005199956893920899,0.576261210900419,0.0014692188206379166
151,relu,adam,13,1,0.4715199067662339,0.024610366251336797,108,5.9192300796508786,0.0048023700714111325,0.08912881200372597,0.0004007354513427909
12,relu,adam,14,1e-05,0.46824115550067313,0.025602326627579657,128,4.7031866073608395,0.003800487518310547,0.02558003383781888,0.0003995232310850419
40,relu,adam,14,0.0001,0.4682403652978217,0.025601645074483044,129,6.159524536132812,0.0048004150390625,0.25264717426957567,0.0003994042403917727
68,relu,adam,14,0.001,0.46822670648002307,0.025611179971206988,131,5.851437377929687,0.0044003486633300785,0.025605489467063383,0.0004900018776120039
96,relu,adam,14,0.01,0.4682319672281173,0.025610633568156665,130,5.84418478012085,0.004403924942016602,0.030647120203010362,0.0004888353658850273
124,relu,adam,14,0.1,0.46824320767053385,0.02559334413108998,127,6.159309244155883,0.004598140716552734,0.2964108988869825,0.0004885262427904631
152,relu,adam,14,1,0.46822449981337044,0.025610128367348214,132,5.871770429611206,0.004601097106933594,0.059088360425009874,0.0004892809699328245
13,relu,adam,15,1e-05,0.47173127303445683,0.02524203078251212,94,4.839551877975464,0.003999137878417968,0.048465006675055045,0.0006306783091224075
41,relu,adam,15,0.0001,0.4717318623777057,0.025242735528874467,93,5.979244947433472,0.004400110244750977,0.022837517287266535,0.000490295518168788
69,relu,adam,15,0.001,0.47173430217582213,0.025237494222211884,90,5.970950984954834,0.004800987243652344,0.012264435101371917,0.000750612230754334
97,relu,adam,15,0.01,0.471732829447706,0.025240489645566928,92,5.995059442520142,0.004800081253051758,0.021264470249403526,0.0003978063826267407
125,relu,adam,15,0.1,0.47172860266051764,0.025236337521678805,95,5.930682945251465,0.004598093032836914,0.02671814275819307,0.0004868280497017527
153,relu,adam,15,1,0.47172837343908897,0.025242042684293146,96,5.941233396530151,0.0050007343292236325,0.035429848978806376,9.24621554835573e-07
14,relu,adam,16,1e-05,0.4716098594666912,0.025564177762097816,104,4.939090061187744,0.004002141952514649,0.045876007310193576,1.562687836472887e-06
42,relu,adam,16,0.0001,0.4716117164933353,0.025559670286805277,103,6.063177061080933,0.0050011157989501955,0.02468975165748562,0.0006333174499842522
70,relu,adam,16,0.001,0.4715826241969318,0.025568546958931352,106,6.471100378036499,0.005398845672607422,0.1760794449194804,0.0008010392600888433
98,relu,adam,16,0.01,0.4715941373147774,0.02556553496460347,105,6.044888353347778,0.004604053497314453,0.017888165665637824,0.00048916265909487
126,relu,adam,16,0.1,0.4716216419647513,0.025568082902849648,102,6.051469469070435,0.004801750183105469,0.029489421644861537,0.00040019002738102835
154,relu,adam,16,1,0.4716269924709107,0.025567931160044324,101,6.033675289154052,0.00500030517578125,0.028835090499534914,2.2738683734066706e-06
15,relu,adam,17,1e-05,0.47271972176816857,0.025286971605679772,71,4.953413391113282,0.003999853134155273,0.035450934987474425,0.0006326396918470867
43,relu,adam,17,0.0001,0.47271781537981006,0.025285032396508422,72,6.091928720474243,0.004602670669555664,0.026717508152995798,0.0004901887145951427
71,relu,adam,17,0.001,0.47275976072484294,0.02527633355573733,68,7.811417198181152,0.007601690292358398,0.5697460383771048,0.0033223344533364267
99,relu,adam,17,0.01,0.47278111622656793,0.02527043482804858,67,6.158897352218628,0.004999971389770508,0.038101108091750324,2.3918030174225716e-06
127,relu,adam,17,0.1,0.47272079881989465,0.02527731290173078,70,6.080772638320923,0.004999780654907226,0.05532890358651848,3.1144439302078116e-06
155,relu,adam,17,1,0.47263304891038027,0.025263297358524357,75,7.155154180526734,0.006600284576416015,0.5950586742993933,0.0010194699221982126
16,relu,adam,18,1e-05,0.47592937332087387,0.02344218903543445,55,5.106478023529053,0.004400920867919922,0.021860163244340942,0.0013553364372457994
44,relu,adam,18,0.0001,0.4759242974193647,0.023421704679753,56,6.231584215164185,0.004201269149780274,0.034389618025889045,0.0003996703195970848
72,relu,adam,18,0.001,0.4758673242832142,0.023516530463783485,58,7.982197380065918,0.004600429534912109,0.5747544859874991,0.0004879571725823935
100,relu,adam,18,0.01,0.47586716377581234,0.02352127348851246,59,6.239860677719117,0.0048010826110839845,0.03204895471792485,0.00040081526962892336
128,relu,adam,18,0.1,0.4758851227443559,0.023488430348488284,57,6.196801710128784,0.004600095748901367,0.023568879677293993,0.0004905072847995678
156,relu,adam,18,1,0.47579322289589765,0.023556622508405116,60,8.160721731185912,0.011001110076904297,0.3551326392507939,0.011045225454459297
17,relu,adam,19,1e-05,0.47173421464563514,0.02410810891958821,91,5.235070705413818,0.004801893234252929,0.12083020259023505,0.0007490688114097574
45,relu,adam,19,0.0001,0.47180434993514914,0.024147649727448657,85,6.345971345901489,0.004799938201904297,0.04851817093364043,0.0004005954799156053
73,relu,adam,19,0.001,0.4717887273996591,0.024165296111088915,86,6.560991716384888,0.004997348785400391,0.2841352638454343,3.4006212863303056e-06
101,relu,adam,19,0.01,0.47174274690458134,0.0241130747218321,89,6.355138540267944,0.005802583694458008,0.04959858204527075,0.0004005259952931797
129,relu,adam,19,0.1,0.4718157965911082,0.0241738223020028,84,6.318230390548706,0.0049994468688964845,0.03233203682050201,0.0008952691919803459
157,relu,adam,19,1,0.4716474748175705,0.024215593291445826,100,7.345734596252441,0.005000782012939453,0.2976571333065284,0.0006339246029575505
18,relu,adam,20,1e-05,0.4752172084477559,0.025502985793149736,64,5.603265762329102,0.004999208450317383,0.12795955625360567,0.0006318847575124397
46,relu,adam,20,0.0001,0.475214389246719,0.025509458390912274,65,6.610042428970337,0.005199813842773437,0.079892733330231,0.0003994020201855024
74,relu,adam,20,0.001,0.4752696369052208,0.025472872503935262,62,6.529318714141846,0.005802631378173828,0.0488590164275162,0.001601815985774337
102,relu,adam,20,0.01,0.4752961061967779,0.025513066192465905,61,6.560314655303955,0.005598211288452148,0.07852524013810581,0.000800503885108364
130,relu,adam,20,0.1,0.474998194212665,0.025644084088608323,66,6.564672946929932,0.005199956893920899,0.08318355886687596,0.00039837638267389413
158,relu,adam,20,1,0.47526594849265635,0.02563718980319534,63,6.588601112365723,0.005000162124633789,0.0302599457052404,3.3932584523500815e-06
20,relu,adam,49,1e-05,0.4787244255989586,0.0241741413584694,50,10.678324031829835,0.007898998260498048,0.94221625082123,0.0006937109738512555
48,relu,adam,49,0.0001,0.47868447532330494,0.02420708532152313,51,10.041188526153565,0.008001470565795898,0.1111239047033995,0.000629319207366896
76,relu,adam,49,0.001,0.4787542777154912,0.024276869625844046,49,9.787184906005859,0.008002471923828126,0.06882512145946225,3.8662055588959664e-06
104,relu,adam,49,0.01,0.47860908768136,0.02439024241877161,53,11.421609449386597,0.0074023246765136715,1.3862342997261046,0.0004888932018069296
132,relu,adam,49,0.1,0.478541183863585,0.02446387391280532,54,9.88174991607666,0.007601690292358398,0.18644618345111935,0.000489650757805607
160,relu,adam,49,1,0.47861203179336476,0.02422881248144702,52,9.80176043510437,0.008202362060546874,0.1147190547999698,0.00040338804221510746
21,relu,adam,55,1e-05,0.4803539822631744,0.024189568441201632,9,10.172099781036376,0.00860128402709961,0.05079073125756411,0.0017447464946319146
49,relu,adam,55,0.0001,0.48034314869186623,0.02419250345330694,11,12.281959438323975,0.014603090286254884,0.6989506494479366,0.008064383051025073
77,relu,adam,55,0.001,0.48034754035407834,0.024239937307703546,10,10.259619522094727,0.008400630950927735,0.06251165307187202,0.0004888531755200266
105,relu,adam,55,0.01,0.48026745952101046,0.02425479638981051,16,10.341585254669189,0.009998750686645509,0.1333611180709306,0.002529601616564
133,relu,adam,55,0.1,0.4803070419496299,0.024219072714732028,13,11.32797713279724,0.008000898361206054,0.19308017493561094,0.0006327167219598086
161,relu,adam,55,1,0.4802734998863062,0.024148151226174055,15,10.15934157371521,0.00800023078918457,0.09366929838921674,1.3197281363580747e-06
22,relu,adam,62,1e-05,0.47943938967937116,0.024899132321588344,45,10.704353666305542,0.008603572845458984,0.08105452788877014,0.0004911475505360125
50,relu,adam,62,0.0001,0.47938708603989066,0.024874252192978803,48,12.76472339630127,0.008598756790161134,0.7890755585614055,0.0004886800052331243
78,relu,adam,62,0.001,0.4794652098707539,0.024889655652285132,43,10.744878959655761,0.009200000762939453,0.10601165548509632,0.00040047374191002407
106,relu,adam,62,0.01,0.47938760997153906,0.02493023855192962,47,10.915991735458373,0.00860137939453125,0.1347760880087295,0.0004895524663841355
134,relu,adam,62,0.1,0.47944724040591247,0.024881648176320607,44,11.892158651351929,0.008600854873657226,0.6041414095156493,0.0004886498819923627
162,relu,adam,62,1,0.47952846130550497,0.024943375586463926,41,10.687429666519165,0.009001493453979492,0.056748458099428786,2.271867608942336e-06
23,relu,adam,70,1e-05,0.4797132342027508,0.024243833732574573,37,11.700851964950562,0.009799432754516602,0.1075237519015067,0.0003988518483430513
51,relu,adam,70,0.0001,0.4795231305547298,0.024294819625538682,42,11.838757133483886,0.009601926803588868,0.04609314379701539,0.0004901586933513359
79,relu,adam,70,0.001,0.4795792109836829,0.02436434474669379,40,12.041289043426513,0.010602378845214843,0.2759831681088588,0.0010195637248365658
107,relu,adam,70,0.01,0.4797352928064308,0.02441544325983162,36,11.793489503860474,0.011402654647827148,0.1126766683595542,0.0018563349290294296
135,relu,adam,70,0.1,0.4793939462776075,0.024224633197065606,46,11.64098401069641,0.009999322891235351,0.06222334263429269,0.0006358081546368136
163,relu,adam,70,1,0.47970792905816745,0.0242876620058781,38,11.665508937835693,0.00999908447265625,0.1405717648512893,0.0010941480370406976
24,relu,adam,82,1e-05,0.4798200992843902,0.024491745087695423,34,13.046151638031006,0.012201881408691407,0.24917664137635542,0.0007465244374146376
52,relu,adam,82,0.0001,0.4797844387346883,0.024529759123464744,35,13.051801443099976,0.01216130256652832,0.1471382232615218,0.0019452363687657342
80,relu,adam,82,0.001,0.4798751403656872,0.024404261151211463,32,14.890595960617066,0.012601900100708007,0.5855533054874245,0.002417078436779555
108,relu,adam,82,0.01,0.4796828582902256,0.024489071912791566,39,13.20166654586792,0.011402273178100586,0.18205322023448006,0.0004903550598252803
136,relu,adam,82,0.1,0.4799024710275172,0.02437904585545009,31,12.829652738571166,0.01140141487121582,0.07835635214812042,0.0004900776565001061
164,relu,adam,82,1,0.4798356062679227,0.024386553639819036,33,14.405000257492066,0.011803340911865235,1.0001347474064017,0.0017187507785008304
25,relu,adam,99,1e-05,0.4801749391754676,0.024854410911112783,18,15.312226057052612,0.015601301193237304,0.3807051688798154,0.0029391326555839046
53,relu,adam,99,0.0001,0.4800844990113669,0.024839505817954053,23,15.190263795852662,0.013199424743652344,0.19371001306776348,0.0007472843797421612
81,relu,adam,99,0.001,0.48004528726820384,0.0248440820928934,25,16.447430849075317,0.015201759338378907,0.4671588265215391,0.0023998264903730753
109,relu,adam,99,0.01,0.4799901881041599,0.024818251839609003,27,15.299899339675903,0.013229608535766602,0.1134115956875205,0.0007448852872798101
137,relu,adam,99,0.1,0.4801070294696612,0.024870696064884287,21,14.833024406433106,0.012800216674804688,0.12218473804047189,0.0003999483993954706
165,relu,adam,99,1,0.48019388541718505,0.024702600014295886,17,17.151013088226318,0.013203620910644531,0.3993708463590624,0.0009782078668321126
27,relu,adam,124,1e-05,0.4799571525131917,0.024808997360456424,28,19.311528873443603,0.015801334381103517,2.0379670448384988,0.0014706735797202343
55,relu,adam,124,0.0001,0.4799126097999504,0.024822807832140217,30,18.948191595077514,0.015405082702636718,0.6102063885325371,0.0010179080309472457
83,relu,adam,124,0.001,0.47995415722635776,0.024940631983315874,29,17.965191221237184,0.01940321922302246,0.8130903813273467,0.008478075898341835
111,relu,adam,124,0.01,0.48009860866529835,0.024755012426785888,22,19.14255666732788,0.015004301071166992,2.1583835955742807,0.0017903781074971317
139,relu,adam,124,0.1,0.48001131218049614,0.024748478730271157,26,18.727694463729858,0.015600299835205078,0.20460522638721085,0.0026541877471714485
167,relu,adam,124,1,0.48007514343829644,0.02475188767858693,24,16.028105545043946,0.01320347785949707,3.4540544970725393,0.003060273023799876
19,relu,adam,165,1e-05,0.4801624435413113,0.025376879267799163,20,21.884973192214964,0.017602014541625976,0.31136527748689813,0.000490602789569214
47,relu,adam,165,0.0001,0.4801700855232226,0.02526028920359072,19,21.413394117355345,0.019802045822143555,0.12863940819899622,0.003654759434684833
75,relu,adam,165,0.001,0.48051297805797255,0.025131129183230905,7,21.248614263534545,0.01900162696838379,0.12816354603362257,0.0008940431285732812
103,relu,adam,165,0.01,0.480299014286086,0.025171837397590904,14,23.51321930885315,0.018204784393310545,0.23214593064789943,0.0009812068768193295
131,relu,adam,165,0.1,0.4803254943839798,0.025345620137071343,12,21.344995260238647,0.01800379753112793,0.13848771283508043,3.36364595194786e-06
159,relu,adam,165,1,0.48053679539848293,0.025240514972921832,6,21.152873468399047,0.018603706359863283,0.09907910603323736,0.0012004874738975905
