,Algorithm,Type,Metric,Position,Subset,Multioutput,Opponent Data,PCA,Season Total + Play Mean Data,Season Total Data,Split by Position,Teammate Data
0,Regression,Linear,MAE,All,Base/Default Model,,,,,31.7,,
1,Regression,Linear,RMSE,All,Base/Default Model,,,,,47.1,,
2,Regression,Linear,R^2,All,Base/Default Model,,,,,0.45,,
3,Regression,Ridge,MAE,All,Base/Default Model,,,,,31.7,,
4,Regression,Ridge,MAE,All,Hyperparameter Optimization,,,,,31.6,,
5,Regression,Ridge,RMSE,All,Base/Default Model,,,,,47.4,,
6,Regression,Ridge,RMSE,All,Hyperparameter Optimization,,,,,47.3,,
7,Regression,Ridge,R^2,All,Base/Default Model,,,,,0.45,,
8,Regression,Ridge,R^2,All,Hyperparameter Optimization,,,,,0.45,,
9,Regression,Lasso,MAE,All,Base Model,,,,31.6,,,
10,Regression,Lasso,MAE,All,Base/Default Model,,,,,31.6,,
11,Regression,Lasso,MAE,All,Hyperparameter Optimization,,,,,31.8,,
12,Regression,Lasso,MAE,All,Manual Feature Selection,,,,31.5,31.4,,
13,Regression,Lasso,MAE,All,Optimized + Standardized,,,,31.4,,,
14,Regression,Lasso,MAE,All,Standardization,,,,,31.8,,
15,Regression,Lasso,MAE,QB,"Downselected, Standardized Features",54.4,53.3,61.3,,,61.6,
16,Regression,Lasso,MAE,QB,Optimized,53.3,52.4,60.9,,,61.9,
17,Regression,Lasso,MAE,RB,"Downselected, Standardized Features",43.6,40.3,44.5,,,44.2,
18,Regression,Lasso,MAE,RB,Optimized,43.9,39.9,44.5,,,44.3,
19,Regression,Lasso,MAE,TE,"Downselected, Standardized Features",20.6,22.9,21.4,,,20.9,
20,Regression,Lasso,MAE,TE,Optimized,20.8,23.0,21.1,,,20.9,
21,Regression,Lasso,MAE,WR,"Downselected, Standardized Features",37.4,35.5,38.1,,,37.8,
22,Regression,Lasso,MAE,WR,Optimized,37.3,35.4,37.8,,,37.8,
23,Regression,Lasso,RMSE,All,Base Model,,,,47.2,,,
24,Regression,Lasso,RMSE,All,Base/Default Model,,,,,47.3,,
25,Regression,Lasso,RMSE,All,Hyperparameter Optimization,,,,,47.4,,
